RNA,ID,Length,total fragments,Avg lifetime,StdDev
ppk-ppx,1206,3613,6,2.07918,0.400674244
guaBA,1210,3113,6,2.881398333,0.248330347
bamB-der,1211,2769,6,1.864476667,0.086762623
yfgM,1212,621,2,1.63158,0.09839
hisS,1213,1275,4,1.7515975,0.132331425
ispG-sroE,1214,1210,4,1.9034675,0.120988788
rlmN,1215,1155,3,3.288106667,0.247913462
ndk,1216,432,1,2.90646,0
sseA,1217,846,2,4.863275,0.503175
pepB,1218,1284,4,19.6586775,22.17818738
trmJ,1219,741,2,1.282915,0.061335
suhB,1220,804,2,3.097675,0.276945
glyA,1228,1254,4,5.3810075,0.766037705
shoB,1235,319,1,131.522,0
srmB,1237,1335,4,3.48964,0.277498625
ung,1241,690,2,2.643145,0.264935
yfiF,1242,1038,3,11.92567,3.010462834
trxC,1243,420,1,1.87446,0
pssA,1245,1356,4,2.2303325,0.111979882
rluD-yfiH,1246,1709,5,3.118754,0.332391418
bamD,1247,738,2,3.055015,0.328795
raiA,1248,342,1,5.78521,0
pheLA,1249,1307,4,3.43322,0.15076572
aroF-tyrA,1250,2203,6,4.45341,0.828855088
ffh,1252,1362,4,1.973855,0.104517838
ypjD,1253,867,2,0.9406065,0.1119035
yfjD,1254,1197,3,0.905986333,0.080980903
grpE,1255,594,1,3.10649,0
nadK,1256,879,2,1.829305,0.153385
smpA,1258,342,1,2.52593,0
ratAB,1259,757,2,2.919045,0.007565
smpB,1260,483,1,3.02097,0
ssrA,1261,363,1,42.7534,0
ygaU,1283,450,1,6.63097,0
ygaVP,1285,834,2,3.5166,1.32172
stpA,1286,405,1,2.37366,0
proVWX,1291,3310,6,2.039936667,0.379787563
ygaZH,1293,1063,3,1.778883333,0.396232917
emrRAB,1294,3385,6,4.686811667,1.058697011
luxS,1295,516,1,13.994,0
gshA,1297,1557,5,3.436756,0.170932076
yqaBA,1298,992,3,2.49141,0.623738788
alaS,1300,2631,6,2.65899,0.153318051
ygaD,1301,498,1,2.9049,0
mltB,1302,1086,3,2.875623333,0.191793492
ftsB,1314,312,1,1.77251,0
ygbE,1315,324,1,1.46204,0
queD,1318,366,1,2.90316,0
ygcF,1323,672,2,3.10908,0.052
relA-mazEF,1325,2896,6,1.739748333,0.154660803
csrB,1328,369,1,3.8419,0
syd,1329,546,1,1.95941,0
queF,1330,849,2,2.610075,0.065985
ygdH,1331,1365,4,9.8605525,1.641874746
sdaCB,1332,2715,6,2.485058333,0.106192174
ygdG,1333,846,2,1.668205,0.391355
gcvA,1335,918,3,1.335803333,0.194118966
csdAE,1338,1649,5,1.940776,0.201359146
csdL,1339,807,2,3.021925,0.197315
mltA,1340,1098,3,2.499753333,0.127736821
amiC,1342,1254,4,1.2013525,0.169646146
argA,1343,1332,4,1.9874325,0.298544624
rppH-ptsP,1344,2790,6,1.080805,0.113596378
ygdQ,1346,714,2,1.31803,0.1067
tas,1348,1041,3,8.384736667,0.696658597
galR,1351,1032,3,1.61206,0.202331646
lysA,1352,1263,4,1.814275,0.341371957
yqeF,1356,1182,3,1.263966667,0.245170783
yqeG,1357,1230,4,2.0498875,0.589297131
ygeR,1371,756,2,1.255925,0.018285
idi,1386,549,1,1.325,0
xerD,1387,897,2,2.080405,0.008875
fldB,1388,522,1,2.34208,0
ygfYX,1389,655,2,2.013335,0.237445
ygfZ,1390,981,3,2.687463333,0.087807837
yqfA,1391,660,2,2.225525,0.163295
yqfB,1392,312,1,2.13979,0
bglA,1393,1440,4,3.9242025,0.750045473
ygfB-pepP-ubiH-visC,1395,4330,6,2.517351667,0.549612899
zapA,1396,330,1,2.72254,0
serA,1398,1233,4,2.6768275,0.273299154
rpiA,1399,660,2,7.34002,0.36139
argP,1401,894,2,1.199515,0.053815
yggE,1402,741,2,4.32128,0.21585
argO,1403,636,2,3.504335,0.185565
mscS,1404,861,2,21.0974,8.2502
tktA,1405,1992,6,6.429275,0.684266507
yggG,1406,759,2,9.54814,3.79546
metK,1408,1155,3,2.72754,0.078466285
galP,1409,1395,4,3.2804625,0.373235893
endA,1411,708,2,6.217505,0.176725
rsmE-gshB,1412,1695,5,4.239096,0.704851489
yqgEF,1413,980,3,2.480013333,0.268712923
yggN,1417,720,2,4.83662,0.83904
gss,1430,1860,6,8.914683333,1.963311367
