"dppC"	"EG12626"		"b3542"	"ECK3529"
"potH"	"EG11631"		"b0856"	"ECK0847"
"rbsC"	"EG10816"	("rbsP" "rbsT")	"b3750"	"ECK3744"
"yhhJ"	"EG11767"		"b3485"	"ECK3470"
"mlaE"	"EG12800"	("vpsB(S.f.)" "yrbE")	"b3194"	"ECK3183"
"ugpE"	"EG11049"		"b3451"	"ECK3435"
"ddpB"	"G6780"	("yddR")	"b1486"	"ECK1480"
"thiP"	"EG11573"	("sfuB" "yabK")	"b0067"	"ECK0068"
"alsC"	"EG11958"	("yjcV")	"b4086"	"ECK4079"
"yphD"	"G7340"		"b2546"	"ECK2543"
"fhuB"	"EG10303"		"b0153"	"ECK0152"
"araH"	"EG10059"	("b1898 (obsolete)" "b1899 (obsolete)")	"b4460"	"ECK1897"
"ydcU"	"G6753"		"b1442"	"ECK1436"
"yjfF"	"EG12439"		"b4231"	"ECK4226"
"modB"	"EG10002"	("chlJ" "tslJ")	"b0764"	"ECK0753"
"lsrD"	"G6802"	("ydeZ")	"b1515"	"ECK1508"
"cysW"	"EG10198"		"b2423"	"ECK2418"
"sapC"	"G2000"		"b1292"	"ECK1287"
"oppC"	"EG10676"		"b1245"	"ECK1239"
"gsiD"	"G6432"	("yliD")	"b0832"	"ECK0822"
"proW"	"EG10772"	("osrA" "proU")	"b2678"	"ECK2672"
"malG"	"EG10556"		"b4032"	"ECK4024"
"tauC"	"G6219"	("yaiJ" "ssiC")	"b0367"	"ECK0364"
"ccmB"	"EG12058"	("yejV")	"b2200"	"ECK2192"
"ccmC"	"EG12057"	("yejT" "yejU")	"b2199"	"ECK2191"
"ytfT"	"EG12520"		"b4230"	"ECK4225"
"pstC"	"EG10784"	("phoW")	"b3727"	"ECK3720"
"lptF"	"G7888"	("yjgP")	"b4261"	"ECK4254"
"artQ"	"EG11626"		"b0862"	"ECK0853"
"btuC"	"EG10127"		"b1711"	"ECK1709"
"gltJ"	"EG12661"		"b0654"	"ECK0647"
"potB"	"EG10750"		"b1125"	"ECK1111"
"sapB"	"G2001"		"b1293"	"ECK1288"
"yhdY"	"EG12836"		"b3270"	"ECK3257"
"ybhR"	"G6409"		"b0792"	"ECK0781"
"lptC"	"G7664"	("yrbK")	"b3199"	"ECK3188"
"ydcV"	"G6754"		"b1443"	"ECK1437"
"hisQ"	"EG12125"		"b2308"	"ECK2302"
"ftsX"	"EG10345"	("ftsS")	"b3462"	"ECK3446"
"oppB"	"EG10675"		"b1244"	"ECK1238"
"hisM"	"EG10007"		"b2307"	"ECK2301"
"cysU"	"EG10197"	("cysT")	"b2424"	"ECK2419"
"livM"	"EG10541"		"b3456"	"ECK3440"
"lolC"	"G6573"	("ycfU")	"b1116"	"ECK1102"
"fecC"	"EG10288"		"b4289"	"ECK4279"
"potC"	"EG10751"		"b1124"	"ECK1110"
"metI"	"EG11737"	("metD" "yaeE")	"b0198"	"ECK0198"
"potI"	"EG11632"		"b0857"	"ECK0848"
"yejB"	"EG12038"		"b2178"	"ECK2172"
"ssuC"	"G6476"	("ycbM")	"b0934"	"ECK0925"
"pstA"	"EG10782"	("R2pho" "phoR2" "phoR2b" "phoT")	"b3726"	"ECK3719"
"yehW"	"EG12009"		"b2128"	"ECK2121"
"fepG"	"EG10298"		"b0589"	"ECK0582"
"ddpC"	"G6779"	("yddQ")	"b1485"	"ECK1479"
"fecD"	"EG10289"		"b4288"	"ECK4278"
"dppB"	"EG12625"		"b3543"	"ECK3530"
"lsrC"	"G6801"	("ydeY")	"b1514"	"ECK1507"
"lolE"	"G6575"	("ycfW")	"b1118"	"ECK1104"
"ycjO"	"G6649"		"b1311"	"ECK1306"
"ugpA"	"EG11046"	("psiB" "psiC" "ugp")	"b3452"	"ECK3436"
"yadH"	"EG12321"		"b0128"	"ECK0127"
"yehY"	"EG12011"		"b2130"	"ECK2123"
"nikB"	"EG12076"	("hydC" "hydD")	"b3477"	"ECK3461"
"fepD"	"EG10296"		"b0590"	"ECK0583"
"yejE"	"EG12040"		"b2179"	"ECK2173"
"yecS"	"G7037"		"b1918"	"ECK1917"
"livH"	"EG10538"	("hrbD" "hrbC" "hrbB")	"b3457"	"ECK3441"
"artM"	"EG11627"		"b0861"	"ECK0852"
"mglC"	"EG10594"	("mglP")	"b2148"	"ECK2141"
"gltK"	"EG12662"		"b0653"	"ECK0646"
"phnE_1"	"EG11283"	("phnE")	"b4104"	"ECK4097"
"glnP"	"EG10388"		"b0810"	"ECK0799"
"xylH"	"EG12276"		"b3568"	"ECK3557"
"ycjP"	"G6650"		"b1312"	"ECK1307"
"yhdX"	"EG12835"		"b3269"	"ECK3256"
"malF"	"EG10555"		"b4033"	"ECK4025"
"nikC"	"EG12077"	("hydD" "hydC")	"b3478"	"ECK3462"
"znuB"	"EG12368"	("yebI")	"b1859"	"ECK1860"
"arsB"	"EG12236"	("arsF")	"b3502"	"ECK3487"
"ybiR"	"G6421"		"b0818"	"ECK0808"
"fiu"	"G6414"	("ybiL")	"b0805"	"ECK0794"
"ompW"	"EG11124"	("yciD")	"b1256"	"ECK1250"
"fadL"	"EG10280"	("ttr")	"b2344"	"ECK2338"
"ompA"	"EG10669"	("con" "tolG" "tut")	"b0957"	"ECK0948"
"ompF"	"EG10671"	("nfxB?" "tolF" "cmlB" "coa" "cry")	"b0929"	"ECK0920"
"ompN"	"G6700"	("ynaG")	"b1377"	"ECK1372"
"bglH"	"EG11364"	("yieC")	"b3720"	"ECK3713"
"phoE"	"EG10729"	("ompE")	"b0241"	"ECK0242"
"pgaA"	"G6531"	("hmsH" "ycdS")	"b1024"	"ECK1014"
"fecA"	"EG10286"		"b4291"	"ECK4281"
"tolC"	"EG11009"	("weeA" "colE1-i" "mtcB" "mukA" "refI" "toc")	"b3035"	"ECK3026"
