creABC	TU0-14475	(PM0-9728)		(EG10730 EG11218 EG11217)
creABCD	TU00253	(PM00603)	(TERM89)	(EG11217 EG11218 EG10730 EG10145)
creD	TU0-14683	(PM0-10215)	(TERM89)	(EG10145)
crl	TU0-14782	(PM0-10465)		(EG11092)
crl	TU0-12858	(PM0-9747)		(EG11092)
crp	TU0-14398	(PM0-9556)		(EG10164)
crp	TU0-14396	(PM0-9554)		(EG10164)
crp	TU00119	(PM00161)		(EG10164)
crr	TU0-4782	(PM00412)	(TERM0322)	(EG10165)
crr	TU0-4786	(PM00411)	(TERM0322)	(EG10165)
csdAE	TU0-13741	(PM0-45484)		(G7455 G7454)
csgBAC	TU00390	(PM00535)		(G6548 G6547 EG11489)
csgC	TU0-14514	(PM0-9794)		(G6548)
csgDEFG	TU00392	(PM00536)		(G6543 G6544 G6545 G6546)
csgDEFG	TU0-14429	(PM0-9649)		(G6543 G6544 G6545 G6546)
csgG	TU0-41652	(PM0-44723)		(G6543)
csiD-ygaF-gabDTP	TU0-4001	(PM0-4241)		(EG11330 EG10361 EG11329 EG12387 G7394)
csiE	TU0-3982	(PM327)		(G7329)
csiR	TU0-42064	(PM0-45450)		(EG12386)
CsiR	TU0-14294	(PM0-45449)		(EG12386)
cspA	TU0-1582	(PM00453)	(TERM0-1056)	(EG10166)
cspA	TU0-1581	(PM00452)	(TERM0-1056)	(EG10166)
cspB	TU0-6982	(PM0-7322)		(EG12203)
cspC	TU0-41868	(PM0-45105)		(EG12204)
cspD	TU0-6486	(PM00597)		(EG11111)
cspE	TU0-13001	(PM0-9885)		(EG12179)
cspE	TU0-14576	(PM0-9886)		(EG12179)
cspF	TU0-41806	(PM0-44986)		(EG12205)
cspF	TU0-8779	(PM0-44985)		(EG12205)
cspF	TU0-41807	(PM0-44987)		(EG12205)
cspG	TU0-6983	(PM0-7323)		(G6511)
cspH	TU0-8780	(PM0-44701)		(G6510)
cspH	TU0-41639	(PM0-44704)		(G6510)
cspH	TU0-41638	(PM0-44703)		(G6510)
cspH	TU0-41642	(PM0-44707)		(G6510)
cspH	TU0-41637	(PM0-44702)		(G6510)
cspH	TU0-41641	(PM0-44706)		(G6510)
cspH	TU0-41640	(PM0-44705)		(G6510)
cspI	TU0-42493	(PM0-46201)		(G6825)
cspI	TU0-6981	(PM0-7321)		(G6825)
csrA	TU0-42457	(PM0-46140)		(EG11447)
csrA	TU0-42456	(PM0-46139)		(EG11447)
csrA	TU0-42459	(PM0-46142)		(EG11447)
csrA	TU0-13716	(PM0-10106)		(EG11447)
csrA	TU0-42458	(PM0-46141)		(EG11447)
csrB	TU0-4761	(PM0-5001)	(TERM0301)	(G0-8785)
csrC	TU0-4822	(PM0-5062)	(TERM0361)	(G0-8874)
csrD	TU0-13904	(PM0-45713)		(EG10018)
cstA	TU0-6822	(PM0-7162)	(TERM0-1110)	(EG10167)
cstA	TU0-6823	(PM0-7163)	(TERM0-1110)	(EG10167)
cstA	TU0-6821	(PM0-7161)	(TERM0-1110)	(EG10167)
cueO	TU0-3124	(PM0-3304)		(EG12318)
cueR	TU0-12955	(PM0-44503)		(G6263)
curA	TU0-13272	(PM0-44941)		(G6760)
cusCFBA	TU0-1821	(PM0-2001)		(EG12367 G6322 G6321 G6320)
cusRS	TU0-1822	(PM0-2002)		(G6318 G6319)
cutA	TU359	(PM440)		(EG12177)
cutC	TU00451	(PM00599)	(TERM49)	(G7024)
cutC	TU0-41889	(PM0-45139)	(TERM49)	(G7024)
cvpA-purF-ubiX	TU00444	(PM00403)	(TERM53)	(EG11044 EG10794 EG10169)
cvpA-purF-ubiX	TU00475	(PM00629)	(TERM53)	(EG11044 EG10794 EG10169)
cvrA	TU0-13174	(PM0-44806)		(G6620)
cyaA	TU0-14402	(PM0-9560)		(EG10170)
cyaA	TU00016	(PM00023)		(EG10170)
cyaA	TU0-14403	(PM0-9561)		(EG10170)
cyaR	TU0-13506	(PM0-10223)	(TERM0-1103)	(G0-8878)
cyaY	TU0-14229	(PM0-45910)		(EG11653)
cybB	TU0-41767	(PM0-44911)		(EG10172)
cybB	TU0-13253	(PM0-44909)		(EG10172)
cybB	TU0-41766	(PM0-44910)		(EG10172)
cybC	TU0-14168			(EG50008)
cycA	TU0-14159	(PM0-10190)		(EG12504)
cydAB	TU00100	(PM00141)		(EG10173 EG10174)
cydAB	TU0-3163	(PM0-3343)		(EG10174 EG10173)
cydAB	TU0-3162	(PM0-3342)		(EG10174 EG10173)
cydAB	TU358	(PM439)		(EG10174 EG10173)
cydAB	TU0-3161	(PM0-3341)		(EG10174 EG10173)
cydC	TU0-41613	(PM0-44663)		(EG10012)
cydDC	TU00254	(PM961)		(EG10012 EG11405)
