"Gene Name"	"Accession-1"	"Object ID"
EG12228	"b3491"	"EG12228"
EG10131	"b4131"	"EG10131"
G7607	"b3088"	"G7607"
G7002	"b1826"	"G7002"
EG11495	"b3511"	"EG11495"
EG11399	"b3509"	"EG11399"
EG10529	"b2569"	"EG10529"
EG11889	"b3507"	"EG11889"
EG11501	"b4117"	"EG11501"
G6855	"b1597"	"G6855"
EG11422	"b2237"	"EG11422"
G6555	"b1058"	"G6555"
EG50009	"b3517"	"EG50009"
G7816	"b4484"	"G7816"
G7011	"b1838"	"G7011"
EG12657	"b3029"	"EG12657"
EG11470	"b3826"	"EG11470"
EG10129	"b1710"	"EG10129"
G7574	"b3024"	"G7574"
EG12341	"b2572"	"EG12341"
G7348	"b2571"	"G7348"
EG11206	"b4011"	"EG11206"
EG11831	"b3859"	"EG11831"
G7193	"b2301"	"G7193"
G58	"b0459"	"G58"
EG11644	"b1536"	"EG11644"
G7852	"b4189"	"G7852"
G7046	"b1953"	"G7046"
EG11533	"b1205"	"EG11533"
EG10374	"b3447"	"EG10374"
G7647	"b3153"	"G7647"
EG12394	"b1778"	"EG12394"
EG11404	"b1203"	"EG11404"
EG10011	"b0006"	"EG10011"
G7415	"b2734"	"G7415"
EG12177	"b4137"	"EG12177"
G6606	"b1166"	"G6606"
EG11897	"b2573"	"EG11897"
G7194	"b2302"	"G7194"
EG10681	"b3961"	"EG10681"
EG10452	"b2306"	"EG10452"
G7059	"b1971"	"G7059"
EG11534	"b3687"	"EG11534"
G7683	"b3238"	"G7683"
EG11433	"b4219"	"EG11433"
EG10061	"b4401"	"EG10061"
G7532	"b2962"	"G7532"
G6756	"b1445"	"G6756"
EG12124	"b2309"	"EG12124"
G7923	"b4326"	"G7923"
G7060	"b1972"	"G7060"
G198	"b0424"	"G198"
EG11535	"b3686"	"EG11535"
EG11105	"b0597"	"EG11105"
EG10306	"b1102"	"EG10306"
G7949	"b4367"	"G7949"
EG10113	"b3336"	"EG10113"
G6414	"b0805"	"G6414"
G0-10437	"b4511"	"G0-10437"
EG10294	"b0592"	"EG10294"
EG11181	"b3337"	"EG11181"
EG10290	"b4287"	"EG10290"
EG10921	"b1905"	"EG10921"
EG10286	"b4291"	"EG10286"
EG10304	"b0151"	"EG10304"
G7033	"b1902"	"G7033"
G6266	"b0490"	"G6266"
EG10295	"b0588"	"EG10295"
EG12101	"b3408"	"EG12101"
EG10292	"b4292"	"EG10292"
EG10287	"b4290"	"EG10287"
EG10305	"b0152"	"EG10305"
G7593	"b3070"	"G7593"
EG10299	"b0585"	"EG10299"
G7883	"b4252"	"G7883"
G7741	"b3398"	"G7741"
G7314	"b2503"	"G7314"
G7061	"b1973"	"G7061"
G6784	"b1490"	"G6784"
G6783	"b1489"	"G6783"
G6749	"b1438"	"G6749"
G6639	"b1285"	"G6639"
G6570	"b1112"	"G6570"
G6447	"b0853"	"G6447"
G6396	"b0762"	"G6396"
G6321	"b0573"	"G6321"
G6167	"b0296"	"G6167"
G0-10655	"b4682"	"G0-10655"
EG12830	"b0466"	"EG12830"
EG12204	"b1823"	"EG12204"
EG11390	"b3495"	"EG11390"
EG11297	"b3860"	"EG11297"
EG11291	"b2936"	"EG11291"
EG11256	"b0382"	"EG11256"
EG11100	"b0471"	"EG11100"
EG11083	"b0059"	"EG11083"
EG10608	"b3251"	"EG10608"
EG11877	"b3923"	"EG11877"
G7031	"b1895"	"G7031"
EG11246	"b1333"	"EG11246"
EG10662	"b1633"	"EG10662"
G7578	"b3031"	"G7578"
G6183	"b0318"	"G6183"
G6967	"b1781"	"G6967"
G6155	"b0284"	"G6155"
EG11758	"b4167"	"EG11758"
EG10511	"b3942"	"EG10511"
G6886	"b1646"	"G6886"
EG10175	"b0340"	"EG10175"
G6806	"b1519"	"G6806"
EG11421	"b0338"	"EG11421"
G7622	"b4470"	"G7622"
G6438	"b0838"	"G6438"
EG12115	"b4374"	"EG12115"
EG11310	"b1407"	"EG11310"
G7312	"b2495"	"G7312"
G6380	"b0711"	"G6380"
EG11969	"b3292"	"EG11969"
EG10954	"b1656"	"EG10954"
G7055	"b1967"	"G7055"
G6156	"b0285"	"G6156"
G6890	"b1650"	"G6890"
EG10108	"b2480"	"EG10108"
G7758	"b3441"	"G7758"
G6487	"b0947"	"G6487"
EG12137	"b0192"	"EG12137"
EG11384	"b0605"	"EG11384"
G7558	"b3001"	"G7558"
G6381	"b0712"	"G6381"
EG12026	"b2154"	"EG12026"
EG10957	"b4063"	"EG10957"
G7139	"b2107"	"G7139"
G6157	"b0286"	"G6157"
EG11852	"b3887"	"EG11852"
EG10628	"b3924"	"EG10628"
G6932	"b1727"	"G6932"
EG12600	"b4394"	"EG12600"
EG11723	"b3713"	"EG11723"
