This file contains columns C, BY, BZ, and CA from Supplementary Data 7 of Covert et al. 2004. “Integrating high-throughput and computational data elucidates bacterial networks”. Nature. May 2004.			
			
	WT -- aerobic		
			
Accession	ec_aer_wild_O_a	ec_aer_wild_O_b	ec_aer_wild_O_c
b0467	1772.19	1902.93	1766.61
	364.015	387.796	458.858
b0468	1310.92	1539.56	1447.45
	2822.56	3164.29	3224.11
b0469	2053.78	1931.44	2056.99
	560.365	456.939	439.798
b0470	1264.09	1166.59	1215.87
	1469.56	1195.99	1025.37
b0471	2432.03	2402.97	2505.46
b0472	1362.3	1282.61	1392.8
	671.02	619.126	469.771
b0473	563.49	503.939	615.33
	149.306	130.254	102.312
b0474	2958.97	3549.1	3810.56
	93.7163	71.441	64.4231
b0475	411.786	424.155	473.321
b0476	75.1248	88.1952	91.9063
	33.8562	73.0051	-13.8502
	370.979	301.493	398.161
b0477	574.517	556.226	635.45
	259.714	206.785	202.745
b0478	938.451	1126.67	1178.33
	13.053	15.3139	14.2015
b0479	189.868	216.507	255.577
	62.3827	66.4888	74.9813
b0480	1189.4	1144.99	1201.1
	75.0666	79.2235	80.2998
b0481	626.289	658.44	671.07
	187.243	163.968	196.638
