"geneId"	"name"	"translationEfficiency"
"EG11627"	"artM"	0.646113432943
"EG11626"	"artQ"	0.735147876682
"EG11625"	"artI"	1.98681519694
"EG11624"	"artP"	1.3870270745
"G6450"	"ybjP"	2.58997173305
"G6451"	"ybjQ"	2.02633722262
"G6452"	"amiD"	1.08289741398
"G6453"	"ybjS"	1.36826181576
"G6454"	"ybjT"	0.491019359037
"G6455"	"ltaE"	2.01856207435
"G6458"	"ybjE"	2.06872003204
"G6459"	"ybjD"	1.39339594482
"G6460"	"ybjX"	4.3087474553
"G6461"	"macA"	1.16867494362
"G6462"	"macB"	0.55042352232
"EG11111"	"cspD"	1.19620911948
"G6463"	"clpS"	0.934162444933
"EG10156"	"clpA"	0.879142778886
"EG10504"	"infA"	1.88307873427
"EG11112"	"aat"	0.74900494591
"EG10012"	"cydC"	1.14512483482
"EG11405"	"cydD"	1.47186685733
"EG11032"	"trxB"	1.83861121487
"EG10547"	"lrp"	1.88135184181
"G6464"	"ftsK"	0.741541978376
"G6465"	"lolA"	1.38318850676
"EG12690"	"rarA"	0.964322319961
"EG10947"	"serS"	2.01657032028
"EG11242"	"ycaD"	0.906033649108
"EG10028"	"pflA"	3.14618815722
"EG10701"	"pflB"	2.05388209085
"EG11258"	"focA"	0.599473360993
"G6468"	"ycaO"	2.25202637042
"EG10946"	"serC"	1.7612382306
"EG10073"	"aroA"	1.32342596435
"EG11265"	"cmk"	0.702087600235
"EG10900"	"rpsA"	2.65706939588
"EG10441"	"ihfB"	2.11717831433
"EG10613"	"msbA"	1.08486904238
"EG11409"	"lpxK"	0.400423011761
"G6471"	"ycaQ"	0.0934938418688
"G6472"	"ycaR"	2.1009465762
"EG10519"	"kdsB"	1.67587133869
"EG12167"	"smtA"	0.528866229608
"EG12165"	"mukF"	0.739543199954
"EG11252"	"mukE"	1.21831817151
"EG10618"	"mukB"	0.800455989596
"EG11253"	"ycbB"	0.682298809226
"G6474"	"ycbK"	1.76073029029
"G6475"	"ycbL"	1.33561680765
"EG10096"	"aspC"	2.54697376557
"EG10671"	"ompF"	1.95627747391
"EG10094"	"asnS"	2.06584826336
"EG10742"	"pncB"	1.16321255681
"EG10696"	"pepN"	2.19834982709
"EG10807"	"pyrD"	2.2060273738
"G6487"	"ycbX"	2.25139441348
"G6488"	"rlmL"	1.57601681911
"G6489"	"uup"	1.19408585552
"G6490"	"pqiA"	0.551004139439
"G6491"	"pqiB"	1.06047294357
"G6492"	"ymbA"	1.17114891392
"EG10273"	"fabA"	2.29411129394
"G6493"	"ycbZ"	0.976149042946
"EG12855"	"matP"	1.78536930199
"EG10669"	"ompA"	2.08420834267
"EG10984"	"sulA"	2.46539144629
"G6495"	"yccS"	0.845111867681
"G6496"	"yccF"	1.99180711642
"EG10426"	"helD"	1.16163660158
"G6497"	"mgsA"	2.90273943594
"G6499"	"yccU"	3.79121534311
"G6500"	"hspQ"	0.443790877653
"G6501"	"rlmI"	2.20746909952
"EG11113"	"yccA"	1.78854731274
"EG11826"	"etk"	0.956558050074
"G6512"	"ymcE"	0.0678308757711
"G0-9662"	"gnsA"	3.36434441169
"EG12615"	"torR"	1.88744882065
"EG12194"	"cbpM"	1.71804551257
"EG12193"	"cbpA"	2.55446069234
"EG12301"	"rutR"	1.59939069612
"EG10801"	"putA"	1.63417612273
"EG10802"	"putP"	1.63762876567
"G6527"	"efeO"	1.37469043634
"EG11735"	"efeB"	0.550323476012
"G6539"	"ghrA"	2.67929690704
"G6540"	"ycdX"	1.55222979099
"G6541"	"ycdY"	2.3632893763
"G6542"	"ycdZ"	0.507570659524
"EG10464"	"lpxL"	2.21447930185
"EG11116"	"yceA"	2.03037162679
"G6556"	"solA"	1.87033940084
"G6557"	"bssS"	0.162738984671
"G6558"	"dinI"	1.20864360492
"EG10806"	"pyrC"	3.26487215905
"EG11117"	"yceB"	1.98735677875
"EG12688"	"grxB"	3.24131115898
"EG10851"	"rimJ"	0.967532381408
"EG11537"	"yceH"	1.42732664618
"G6560"	"yceM"	0.527087433849
"G6561"	"murJ"	1.59561102519
"G361"	"flgE"	1.0749275713
"EG10859"	"rne"	1.65724765281
"EG11118"	"rluC"	1.5389628697
"EG11438"	"yceF"	2.85022860833
"EG11119"	"yceD"	0.213410969399
"EG10890"	"rpmF"	2.74301836916
"EG11437"	"plsX"	0.182825269289
"EG10277"	"fabH"	1.06048305851
"EG11317"	"fabD"	1.35675986572
"EG11318"	"fabG"	1.09924873817
"EG50003"	"acpP"	2.57488567144
"EG12606"	"fabF"	0.947613590772
"EG11493"	"pabC"	0.453638251854
"EG11494"	"yceG"	1.04736755769
"EG12302"	"tmk"	1.17631642998
"EG11500"	"holB"	0.491192062058
"EG12303"	"ycfH"	2.09134922889
"EG10787"	"ptsG"	1.37903344794
"EG12172"	"hinT"	3.63806874505
"G6564"	"ycfL"	0.212805697152
"G6566"	"thiK"	0.217760501182
"G6567"	"nagZ"	1.27260595173
"G6568"	"ycfP"	2.33648528755
"EG10649"	"ndh"	2.07180597076
"EG12444"	"ycfJ"	0.195647128429
"G6570"	"bhsA"	3.92435531773
"G6571"	"ycfS"	1.72286005509
"EG11619"	"mfd"	1.28374917165
"G6573"	"lolC"	0.836041903027
"G6574"	"lolD"	1.48946663255
"G6575"	"lolE"	0.856013421073
"G6576"	"nagK"	0.462217874198
"G6577"	"cobB"	1.75686622892
"EG10752"	"potD"	1.7432883086
"EG10751"	"potC"	0.552138914127
"EG10750"	"potB"	0.760522817995
"EG10749"	"potA"	1.22010834253
"EG11549"	"pepT"	1.38234602419
"EG11430"	"ycfD"	1.97688663682
"EG10732"	"phoQ"	0.647390498057
"EG10731"	"phoP"	3.03481236537
"EG11314"	"purB"	2.62977119015
"EG11345"	"hflD"	0.722414480241
"EG11344"	"mnmA"	1.4487735362
"G6580"	"nudJ"	1.29246888719
"G6581"	"rluE"	1.70995874411
"EG10489"	"icd"	3.22429325717
"G6611"	"ymgD"	2.30981674468
"G6612"	"ymgG"	1.20111612159
"EG10598"	"minE"	1.4856089768
"EG10597"	"minD"	2.06112564967
"EG10596"	"minC"	0.645575692889
"G6614"	"ycgJ"	2.60389393185
"G6616"	"ycgL"	2.68520820745
"G6617"	"ycgM"	0.687386241124
"G6618"	"ycgN"	1.89644954024
"EG11393"	"dsbB"	1.34397215017
"EG11392"	"nhaB"	1.69153246454
"EG10281"	"fadR"	2.66150298991
"EG11407"	"dadA"	1.32669665238
"EG11408"	"dadX"	0.834198864455
"G6620"	"cvrA"	0.711894507064
"G6621"	"ldcA"	2.16303572098
"G6622"	"emtA"	1.98980227694
"EG12399"	"dhaM"	2.13557229985
"G6626"	"dhaL"	1.49747848638
"G6627"	"dhaK"	1.29404699328
"G6628"	"dhaR"	0.674451282986
"G6629"	"ycgV"	0.206862568912
"EG11404"	"ychF"	2.58741062319
"EG10785"	"pth"	1.59370659521
"EG10774"	"prs"	1.72808866914
"EG11294"	"ispE"	0.229283052715
