"left"	"right"	"id"	"rho"	"name"
2993333	2993334	"TERM_WC-1019"	"0"	"TERM_WC_insC-4D-4-ygeONM-insCD-4"
451291	451292	"TERM_WC-102"	"0"	"TERM_WC_ampG"
3189721	3184062	"TERM_WC-1020"	"0"	"TERM_WC_insC-5D-5-yqiGHI-insCD-5"
4497526	4496250	"TERM_WC-1021"	"0"	"TERM_WC_insC-6D-6-insCD-6"
390960	390961	"TERM_WC-1022"	"0"	"TERM_WC_insE-2F-2-insEF-2"
567230	566056	"TERM_WC-1023"	"0"	"TERM_WC_insE-3F-3-insEF-3"
1093495	1093496	"TERM_WC-1024"	"0"	"TERM_WC_insE-4F-4-insEF-4"
2169425	2168251	"TERM_WC-1025"	"0"	"TERM_WC_insE-5F-5-insEF-5"
390960	390961	"TERM_WC-1026"	"0"	"TERM_WC_insF-2-insEF-2"
390960	390961	"TERM_WC-1027"	"0"	"TERM_WC_insF-2-insEF-2"
1093495	1093496	"TERM_WC-1028"	"0"	"TERM_WC_insF-4-insEF-4"
1093495	1093496	"TERM_WC-1029"	"0"	"TERM_WC_insF-4-insEF-4"
394351	394352	"TERM_WC-103"	"0"	"TERM_WC_ampH"
4500123	4500124	"TERM_WC-1030"	"0"	"TERM_WC_insG"
273322	273323	"TERM_WC-1031"	"0"	"TERM_WC_insH-1"
3363721	3363722	"TERM_WC-1032"	"0"	"TERM_WC_insH-10"
3650202	3650203	"TERM_WC-1033"	"0"	"TERM_WC_insH-11"
3650202	3650203	"TERM_WC-1034"	"0"	"TERM_WC_insH-11"
573957	573958	"TERM_WC-1035"	"0"	"TERM_WC_insH-2"
687217	687218	"TERM_WC-1036"	"0"	"TERM_WC_insH-3"
687217	687218	"TERM_WC-1037"	"0"	"TERM_WC_insH-3"
687217	687218	"TERM_WC-1038"	"0"	"TERM_WC_insH-3"
1395119	1393995	"TERM_WC-1039"	"0"	"TERM_WC_insH-4"
394351	394352	"TERM_WC-104"	"0"	"TERM_WC_ampH"
1425767	1425768	"TERM_WC-1040"	"0"	"TERM_WC_insH-5"
2064326	2064327	"TERM_WC-1041"	"0"	"TERM_WC_insH-6"
2064326	2064327	"TERM_WC-1042"	"0"	"TERM_WC_insH-6"
2099916	2099917	"TERM_WC-1043"	"0"	"TERM_WC_insH-7"
2099916	2099917	"TERM_WC-1044"	"0"	"TERM_WC_insH-7"
2099916	2099917	"TERM_WC-1045"	"0"	"TERM_WC_insH-7"
2287084	2287085	"TERM_WC-1046"	"0"	"TERM_WC_insH-8"
3129219	3128047	"TERM_WC-1047"	"0"	"TERM_WC_insH-9"
1468536	1467382	"TERM_WC-1048"	"0"	"TERM_WC_insI-2"
4505486	4505487	"TERM_WC-1049"	"0"	"TERM_WC_insI-3"
1716514	1716515	"TERM_WC-105"	"0"	"TERM_WC_anmK"
3719227	3718617	"TERM_WC-1050"	"0"	"TERM_WC_insJ"
3720075	3719088	"TERM_WC-1051"	"0"	"TERM_WC_insK"
16560	15380	"TERM_WC-1052"	"0"	"TERM_WC_insL-1"
16560	15436	"TERM_WC-1053"	"0"	"TERM_WC_insL-1"
608403	607279	"TERM_WC-1054"	"0"	"TERM_WC_insL-2"
2513468	2512344	"TERM_WC-1055"	"0"	"TERM_WC_insL-3"
4505486	4505487	"TERM_WC-1056"	"0"	"TERM_WC_insMI-3"
271482	269450	"TERM_WC-1057"	"0"	"TERM_WC_insN-1I-1O-1"
4505489	4505220	"TERM_WC-1058"	"0"	"TERM_WC_insN-2"
4508159	4506981	"TERM_WC-1059"	"0"	"TERM_WC_insO-2-yjhWV"
1850555	1848884	"TERM_WC-106"	"0"	"TERM_WC_ansA-pncA"
2755425	2754181	"TERM_WC-1060"	"0"	"TERM_WC_intA"
4495966	4494773	"TERM_WC-1061"	"0"	"TERM_WC_intB"
564035	564036	"TERM_WC-1062"	"0"	"TERM_WC_intD"
294917	294918	"TERM_WC-1063"	"0"	"TERM_WC_intF"
2010807	2010526	"TERM_WC-1064"	"0"	"TERM_WC_intG"
1410021	1410022	"TERM_WC-1065"	"0"	"TERM_WC_intR"
2465727	2464537	"TERM_WC-1066"	"0"	"TERM_WC_intS"
2465727	2464535	"TERM_WC-1067"	"0"	"TERM_WC_intS"
2558091	2556715	"TERM_WC-1068"	"0"	"TERM_WC_intZ"
4555411	4554599	"TERM_WC-1069"	"0"	"TERM_WC_iraD"
1522502	1522503	"TERM_WC-107"	"0"	"TERM_WC_ansP"
4555411	4554879	"TERM_WC-1070"	"0"	"TERM_WC_iraD"
1210900	1210901	"TERM_WC-1071"	"0"	"TERM_WC_iraM"
1210900	1210901	"TERM_WC-1072"	"0"	"TERM_WC_iraM"
400873	400543	"TERM_WC-1073"	"0"	"TERM_WC_iraP"
400873	400587	"TERM_WC-1074"	"0"	"TERM_WC_iraP"
2651748	2651537	"TERM_WC-1075"	"0"	"TERM_WC_IS128"
2657582	2657583	"TERM_WC-1076"	"0"	"TERM_WC_iscA"
2657582	2657583	"TERM_WC-1077"	"0"	"TERM_WC_iscA"
2657582	2657583	"TERM_WC-1078"	"0"	"TERM_WC_iscRSUA"
3332706	3331732	"TERM_WC-1079"	"0"	"TERM_WC_ispB"
1522502	1522503	"TERM_WC-108"	"0"	"TERM_WC_ansP"
2869320	2869321	"TERM_WC-1080"	"0"	"TERM_WC_ispDF"
2869320	2869321	"TERM_WC-1081"	"0"	"TERM_WC_ispF"
2869320	2869321	"TERM_WC-1082"	"0"	"TERM_WC_ispF"
2638614	2638615	"TERM_WC-1083"	"0"	"TERM_WC_ispG-sroE"
2638614	2638615	"TERM_WC-1084"	"0"	"TERM_WC_ispG-sroE"
2638614	2638615	"TERM_WC-1085"	"0"	"TERM_WC_ispG-sroE"
195667	194784	"TERM_WC-1086"	"0"	"TERM_WC_ispU"
195667	194901	"TERM_WC-1087"	"0"	"TERM_WC_ispU"
1403680	1403681	"TERM_WC-1088"	"0"	"TERM_WC_isrA"
1985860	1985861	"TERM_WC-1089"	"0"	"TERM_WC_isrB"
50377	50378	"TERM_WC-109"	"0"	"TERM_WC_apaGH"
2069545	2069339	"TERM_WC-1090"	"0"	"TERM_WC_isrC"
3845325	3845326	"TERM_WC-1091"	"0"	"TERM_WC_ivbL-ilvBN-uhpABC"
240819	240329	"TERM_WC-1092"	"0"	"TERM_WC_ivy"
240819	240319	"TERM_WC-1093"	"0"	"TERM_WC_ivy"
4134041	4131835	"TERM_WC-1094"	"0"	"TERM_WC_katG"
3279650	3276888	"TERM_WC-1095"	"0"	"TERM_WC_kbaZ-agaVWA"
3788340	3788341	"TERM_WC-1096"	"0"	"TERM_WC_kbl-tdh"
1307037	1307038	"TERM_WC-1097"	"0"	"TERM_WC_kch"
3678374	3677442	"TERM_WC-1098"	"0"	"TERM_WC_kdgK"
1907329	1907330	"TERM_WC-1099"	"0"	"TERM_WC_kdgR"
1397742	1397743	"TERM_WC-11"	"0"	"TERM_WC_abgABT-ogt"
50377	50378	"TERM_WC-110"	"0"	"TERM_WC_apaH"
1907329	1907330	"TERM_WC-1100"	"0"	"TERM_WC_kdgR"
1907329	1907330	"TERM_WC-1101"	"0"	"TERM_WC_kdgR"
4100699	4099713	"TERM_WC-1102"	"0"	"TERM_WC_kdgT"
720276	720277	"TERM_WC-1103"	"0"	"TERM_WC_kdpDE"
720276	720277	"TERM_WC-1104"	"0"	"TERM_WC_kdpE"
723627	723628	"TERM_WC-1105"	"0"	"TERM_WC_kdpFABC"
3342694	3340248	"TERM_WC-1106"	"0"	"TERM_WC_kdsC-lptCAB"
3342694	3339741	"TERM_WC-1107"	"0"	"TERM_WC_kdsC-lptCAB"
3342694	3340032	"TERM_WC-1108"	"0"	"TERM_WC_kdsC-lptCAB"
3808330	3806539	"TERM_WC-1109"	"0"	"TERM_WC_kdtA-coaD"
2308498	2308499	"TERM_WC-111"	"0"	"TERM_WC_apbE"
2980516	2980517	"TERM_WC-1110"	"0"	"TERM_WC_kduD"
2981307	2981308	"TERM_WC-1111"	"0"	"TERM_WC_kduI"
