# Organism: Escherichia coli K-12 substr. MG1655
# Database: EcoCyc
# Version: 25.1
# Date and time generated: September 10, 2021, 12:55:13
"id"	"common_name"	"synonyms"	"type"	"modified_forms"	"gene_id"	"monomer_ids"	"anticodon"	"coding_segments"
"EG12411_RNA"	"rfbD"	["rfbD", "rmlD", "b2040", "ECK2034"]	"mRNA"	[]	"EG12411"	["DTDPDEHYRHAMREDUCT-MONOMER"]	null	[]
"EG12412_RNA"	"rfbB"	["rfbB", "som", "rmlB", "b2041", "ECK2035"]	"mRNA"	[]	"EG12412"	["DTDPGLUCDEHYDRAT-MONOMER"]	null	[]
"EG12414_RNA"	"gatA"	["gatA", "b2094", "ECK2087"]	"mRNA"	[]	"EG12414"	["GATA-MONOMER"]	null	[]
"EG12415_RNA"	"gatB"	["gatB", "b2093", "ECK2086"]	"mRNA"	[]	"EG12415"	["GATB-MONOMER"]	null	[]
"EG12416_RNA"	"gatC"	["gatC", "b2092", "ECK2085"]	"pseudo"	[]	"EG12416"	["GATC-MONOMER"]	null	[]
"EG12417_RNA"	"gatD"	["gatD", "b2091", "ECK2084"]	"mRNA"	[]	"EG12417"	["GALACTITOLPDEHYD-MONOMER"]	null	[]
"EG12419_RNA"	"gatY"	["gatY", "yegF", "b2096", "ECK2089"]	"mRNA"	[]	"EG12419"	["TAGAALDOL2-MONOMER"]	null	[]
"EG12421_RNA"	"ybiI"	["ybiI", "b0803", "ECK0792"]	"mRNA"	[]	"EG12421"	["EG12421-MONOMER"]	null	[]
"EG12422_RNA"	"ybiJ"	["ybiJ", "b0802", "ECK0791"]	"mRNA"	[]	"EG12422"	["EG12422-MONOMER"]	null	[]
"EG12423_RNA"	"tauD"	["tauD", "ssiD", "yaiG", "b0368", "ECK0365"]	"mRNA"	[]	"EG12423"	["MONOMER0-147"]	null	[]
"EG12424_RNA"	"prmC"	["prmC", "hemK", "b1212", "ECK1200"]	"mRNA"	[]	"EG12424"	["EG12424-MONOMER"]	null	[]
"EG12427_RNA"	"modA"	["modA", "b0763", "ECK0752"]	"mRNA"	[]	"EG12427"	["MODA-MONOMER"]	null	[]
"EG12428_RNA"	"rhoL"	["rhoL", "b3782", "ECK3774"]	"mRNA"	[]	"EG12428"	["EG12428-MONOMER"]	null	[]
"EG12429_RNA"	"tomB"	["tomB", "ybaJ", "b0461", "ECK0455"]	"mRNA"	[]	"EG12429"	["EG12429-MONOMER"]	null	[]
"EG12431_RNA"	"puuR"	["puuR", "ycjC", "b1299", "ECK1294"]	"mRNA"	[]	"EG12431"	["EG12431-MONOMER"]	null	[]
"EG12432_RNA"	"ydiF"	["ydiF", "b1694", "ECK1692"]	"mRNA"	[]	"EG12432"	["EG12432-MONOMER"]	null	[]
"EG12433_RNA"	"rluB"	["rluB", "yciL", "b1269", "ECK1263"]	"mRNA"	[]	"EG12433"	["EG12433-MONOMER"]	null	[]
"EG12434_RNA"	"ygiM"	["ygiM", "ecfG", "htrG", "b3055", "ECK3045"]	"mRNA"	[]	"EG12434"	["EG12434-MONOMER"]	null	[]
"EG12436_RNA"	"rseP"	["rseP", "ecfE", "yaeL", "b0176", "ECK0175"]	"mRNA"	[]	"EG12436"	["EG12436-MONOMER"]	null	[]
"EG12437_RNA"	"menE"	["menE", "b2260", "ECK2254"]	"mRNA"	[]	"EG12437"	["O-SUCCINYLBENZOATE-COA-LIG-MONOMER"]	null	[]
"EG12438_RNA"	"menH"	["menH", "yfbB", "b2263", "ECK2257"]	"mRNA"	[]	"EG12438"	["EG12438-MONOMER"]	null	[]
"EG12439_RNA"	"yjfF"	["yjfF", "b4231", "ECK4226"]	"mRNA"	[]	"EG12439"	["YJFF-MONOMER"]	null	[]
