"TF"	"geneId"	"oneComponentId"	"twoComponentId"	"nonMetaboliteBindingId"	"activeId"	"_notes"
"xylG"	"EG12275"					
"xylH"	"EG12276"					
"malS"	"EG11316"					
"avtA"	"EG10107"					
"yiaK"	"EG12279"					
"yiaM"	"EG12281"					
"yiaN"	"EG12282"					
"yiaO"	"EG12283"					
"lyxK"	"EG12284"					
"sgbH"	"EG12285"					
"sgbE"	"EG12287"					
"aldB"	"EG12292"					
"selA"	"EG10941"					
"mtlA"	"EG10615"					
"mtlD"	"EG10616"					
"lldP"	"EG11961"					
"lldD"	"EG11963"					
"cysE"	"EG10187"					
"gpsA"	"EG20091"					
"grxC"	"EG12294"					
"gpmM"	"EG12296"					
"tdh"	"EG10993"					
"kbl"	"EG10512"					
"rfaD"	"EG10838"					
"waaF"	"EG12210"					
"waaC"	"EG11189"					
"rfaL"	"EG11424"					
"waaK"						
"rfaZ"	"EG11426"					
"waaY"	"EG11425"					
"waaJ"	"EG11353"					
"waaI"	"EG11352"					
"waaB"	"EG11351"					
"rfaS"	"EG11350"					
"waaP"	"EG11340"					
"waaG"	"EG11339"					
"waaQ"	"EG11341"					
"waaA"	"EG10520"					
"coaD"	"EG11190"					
"dfp"	"EG10004"					
"dut"	"EG10251"					
"pyrE"	"EG10808"					
"gmk"	"EG10965"					
"spoT"	"EG10966"					
"gltS"	"EG10406"					
"xanP"	"EG11194"					
"ade"	"EG11314"					
"uhpT"	"EG11054"					
"ilvN"	"EG10502"					
"ilvB"	"EG10494"					
"yidK"	"EG11706"					
"dgoT"	"EG20053"					
"dgoK"	"EG20051"					
"tnaA"	"EG11005"					
"tnaB"	"EG11006"					
"purP"	"EG11724"					
"bglF"	"EG10115"					
"pstB"	"EG10783"					
"pstA"	"EG10782"					
"pstC"	"EG10784"					
"pstS"	"EG10734"					
"glmS"	"EG10382"					
"glmU"	"EG11198"					
"atpC"	"EG10100"					
"atpD"	"EG10101"					
"atpG"	"EG10104"					
"atpA"	"EG10098"					
"atpH"	"EG10105"					
"atpF"	"EG10103"					
"atpE"	"EG10102"					
"atpB"	"EG10099"					
"atpI"	"EG10106"					
"asnA"	"EG10091"					
"kup"	"EG11541"					
"rbsD"	"EG10817"					
"rbsA"	"EG10814"					
"rbsC"	"EG10816"					
"rbsB"	"EG10815"					
"rbsK"	"EG10818"					
"ilvE"	"EG10497"					
"ilvD"	"EG10496"					
"ilvA"	"EG10493"					
"ilvC"	"EG10495"					
"gpp"	"EG10413"					
"trxA"	"EG11031"					
"rfe"	"EG10840"					
"wzzE"	"EG11295"					
"rffE"	"EG11451"					
"rffD"	"EG11452"					
"rffG"	"EG11453"					
"rffH"	"EG11454"					
"rffC"	"EG11455"					
"rffA"	"EG11456"					
"wzxE"	"EG11486"					
"wzyE"	"EG11457"					
"rffM"	"EG11458"					
"hemX"	"EG10433"					
"hemD"	"EG10430"					
"hemC"	"EG10429"					
"cyaA"	"EG10170"					
"cyaY"	"EG11653"					
"dapF"	"EG10209"					
"corA"	"EG11463"					
"pldA"	"EG10738"					
"rhtC"	"EG11468"					
"rhtB"	"EG11469"					
"pldB"	"EG10739"					
"yigL"	"EG11470"					
"metE"	"EG10584"					
"udp"	"EG11045"					
"ubiE"	"EG11473"					
"ubiB"	"EG11476"					
"ubiD"	"EG11396"					
"fre"	"EG10334"					
"fadA"	"EG10278"					
"fadB"	"EG10279"					
"trkH"	"EG11021"					
"hemG"	"EG11485"					
"alaT"	"EG30008"					
"mobB"	"EG11828"					
"mobA"	"EG11829"					
"dsbA"	"EG11297"					
"hemN"	"EG11836"					
"glnA"	"EG10383"					
"ompL"	"G7814"					
"yihU"	"EG11847"					
"fdoI"	"EG11856"					
"fdoH"	"EG11857"					
"fdoG"	"EG11858"					
"rhaD"	"EG11866"					
"rhaA"	"EG11867"					
"rhaB"	"EG11868"					
"rhaT"	"EG11313"					
"sodA"	"EG10953"					
"kdgT"	"EG11869"					
"fieF"	"EG11873"					
"pfkA"	"EG10699"					
"sbp"	"EG10929"					
"cdh"	"EG10138"					
"tpiA"	"EG11015"					
"fpr"	"EG10628"					
"glpX"	"EG11517"					
"glpK"	"EG10398"					
"glpF"	"EG10396"					
"menA"	"EG11880"					
"metB"	"EG10582"					
"metL"	"EG10590"					
"metF"	"EG10585"					
"katG"	"EG10511"					
"gldA"	"EG11904"					
"fsaB"	"EG11905"					
"pflD"	"EG11910"					
"pflC"	"EG11911"					
"ppc"	"EG10756"					
"argE"	"EG11286"					
"argC"	"EG10065"					
"argB"	"EG10064"					
"argH"	"EG11223"					
"sthA"	"EG11428"					
"btuB"	"EG10126"					
"murI"	"EG11204"					
"murB"	"EG11205"					
"coaA"	"EG10922"					
"thiH"	"EG11590"					
"thiG"	"EG11589"					
"thiF"	"EG11587"					
"thiE"	"EG11586"					
"thiC"	"EG11585"					
"nudC"	"EG11702"					
"hemE"	"EG11543"					
"purD"	"EG10792"					
"purH"	"EG10795"					
"metA"	"EG10581"					
"aceB"	"EG10023"					
"aceA"	"EG10022"					
"metH"	"EG10587"					
"lysC"	"EG10550"					
"pgi"	"EG10702"					
"xylE"	"EG11076"					
"malG"	"EG10556"					
"malF"	"EG10555"					
"malE"	"EG10554"					
"malK"	"EG10558"					
"lamB"	"EG10528"					
"ubiC"	"EG11369"					
"ubiA"	"EG11370"					
"plsB"	"EG10740"					
"dgkA"	"EG10224"					
"alr"	"EG10001"					
"tyrB"	"EG11040"					
"aphA"	"EG11934"					
"actP"	"EG11942"					
"acs"	"EG11448"					
"nrfA"	"EG11781"					
"nrfB"	"EG11945"					
"nrfC"	"EG11946"					
"nrfD"	"EG11947"					
"gltP"	"EG10405"					
"fdhF"	"EG10285"					
"alsK"	"EG11956"					
"alsE"	"EG11957"					
"alsC"	"EG11958"					
"alsA"	"EG11959"					
"alsB"	"EG12458"					
"rpiB"	"EG11827"					
"phnN"	"EG10723"					
"proP"	"EG11612"					
"adiC"	"EG12462"					
"adiA"	"EG11501"					
"melA"	"EG10577"					
"melB"	"EG10578"					
"fumB"	"EG10357"					
"dcuB"	"EG10006"					
"lysU"	"EG10553"					
"yjdL"	"EG12469"					
"cadA"	"EG10131"					
"cadB"	"EG10132"					
"dipZ"	"EG12178"					
"dcuA"	"EG11225"					
"aspA"	"EG10095"					
"frdD"	"EG10333"					
"frdC"	"EG10332"					
"frdB"	"EG10331"					
"frdA"	"EG10330"					
"psd"	"EG10775"					
"rsgA"	"G7841"					
"amiB"	"EG11363"					
"purA"	"EG10790"					
"ulaG"	"G7855"					
"ulaA"	"G7856"					
"ulaB"	"EG12494"					
"ulaC"	"EG12495"					
"ulaD"	"G7858"					
"ulaE"	"G7859"					
"ulaF"	"G7860"					
"cycA"	"EG12504"					
"ytfE"	"G7866"					
"cpdB"	"EG10160"					
"cysQ"	"EG10043"					
"msrA"	"EG11433"					
"ppa"	"EG10755"					
"ytfQ"	"EG12517"					
"ytfT"	"EG12520"					
"yjfF"	"EG12439"					
"fbp"	"EG10283"					
"mpl"	"EG12440"					
"nrdG"	"G812"					
"nrdD"	"EG11417"					
"treC"	"EG11402"					
"treB"	"EG12127"					
"mgtA"	"EG12525"					
"pyrI"	"EG10811"					
"pyrB"	"EG10805"					
"argI"	"EG10069"					
"valS"	"EG11067"					
"lptF"	"G7888"					
"lptG"	"G7889"					
"idnT"	"EG12539"					
"idnO"	"G7892"					
"idnD"	"G7893"					
"idnK"	"EG12152"					
"fecE"	"EG10290"					
"fecD"	"EG10289"					
"fecC"	"EG10288"					
"fecB"	"EG10287"					
"fecA"	"EG10286"					
"sgcE"	"G7914"					
"nanC"	"G7921"					
"gntP"	"EG12563"					
"uxuA"	"EG11066"					
"uxuB"	"EG20248"					
"yjjL"	"EG12587"					
"yjjN"	"G7945"					
"fhuF"	"G7949"					
"yjjG"	"EG12115"					
"deoC"	"EG10221"					
"deoA"	"EG10219"					
"deoB"	"EG10220"					
"deoD"	"EG10222"					
"lplA"	"EG11796"					
"serB"	"EG10945"					
"slt"	"EG10950"					
"yjjX"	"EG12600"					
"ytjC"	"EG12164"					
"glcF"	"G0-8601"					
"frlC"	"G7724"					
"dgoA"	"EG20049"					
"ytfR"	"EG12518"					
"thrL"	"EG11277"					
"yaaX"	"G6081"					
"yaaA"	"EG10011"					
"yaaH"	"EG11512"					
"yaaW"	"G6082"					
"htgA"	"EG11509"					
"yaaI"	"G8202"					
"dnaK"	"EG10241"					
"dnaJ"	"EG10240"					
"insL-1"	"G6083"					
"insA-1"	"G6086"					
"rpsT"	"EG10919"					
"yaaY"	"G6087"					
"lspA"	"EG10548"					
"fkpB"	"EG11080"					
"caiE"	"EG12608"					
"caiA"	"EG11560"					
"fixA"	"EG11562"					
"fixB"	"EG11563"					
"fixC"	"EG11564"					
"fixX"	"EG11565"					
"yaaU"	"EG11566"					
"kefF"	"EG11568"					
"apaG"	"EG10047"					
"rsmA"	"EG10523"					
"surA"	"EG10985"					
"lptD"	"EG11569"					
"djlA"	"EG11570"					
"yabP"	"EG12610"					
"rluA"	"EG12609"					
"hepA"	"EG11083"					
"polB"	"EG10747"					
"yabI"	"EG11571"					
"leuL"	"EG11280"					
"mraZ"	"EG11084"					
"rsmH"	"EG11085"					
"ftsL"	"EG11086"					
"ftsW"	"EG10344"					
"ftsQ"	"EG10342"					
"ftsA"	"EG10339"					
"ftsZ"	"EG10347"					
"secM"	"EG11087"					
"secA"	"EG10936"					
"yacG"	"EG12314"					
"zapD"	"EG12313"					
"hofC"	"EG11798"					
"hofB"	"EG12106"					
"ppdD"	"EG12107"					
"ampE"	"EG10042"					
"yacH"	"EG12315"					
"yacL"	"EG12605"					
"yacC"	"EG11089"					
"yadG"	"EG12320"					
"yadH"	"EG12321"					
"yadI"	"EG12322"					
"yadE"	"EG11749"					
"yadD"	"EG11748"					
"yadC"	"EG11678"					
"yadK"	"EG12325"					
"yadL"	"EG12326"					
"yadM"	"EG12327"					
"htrE"	"EG11972"					
"yadV"	"EG11973"					
"yadN"	"EG12328"					
"pcnB"	"EG10690"					
"gluQ"	"EG11362"					
"dksA"	"EG10230"					
"ligT"	"EG12330"					
"hrpB"	"EG12329"					
"erpA"	"EG12332"					
"yadS"	"EG12333"					
"degP"	"EG10463"					
"yaeH"	"EG12336"					
"yaeI"	"EG12337"					
"glnD"	"EG11411"					
"map"	"EG10570"					
"rpsB"	"EG10901"					
"tsf"	"EG11033"					
"frr"	"EG10335"					
"rseP"	"EG12436"					
"bamA"	"G6093"					
"hlpA"	"EG10455"					
"rnhB"	"EG10861"					
"dnaE"	"EG10238"					
"yaeR"	"G6095"					
"tilS"	"G6096"					
"rof"	"G6097"					
"yaeQ"	"G6098"					
"arfB"	"EG12354"					
"nlpE"	"EG12137"					
"yaeF"	"EG12138"					
"yaeB"	"EG11503"					
"rcsF"	"EG11502"					
"rrsH"	"EG30090"					
"rrfH"	"EG30076"					
"yafD"	"EG11650"					
"yafE"	"EG11651"					
"mltD"	"EG10246"					
"yafS"	"G6100"					
"rnhA"	"EG10860"					
"dnaQ"	"EG10243"					
"yafT"	"G6101"					
"yafU"	"G6102"					
"yafV"	"G6103"					
"ivy"	"G6104"					
"yafJ"	"G6107"					
"yafK"	"G6108"					
"yafQ"	"G6109"					
"yafL"	"G6111"					
"rayT"	"G6112"					
"lfhA"	"G6113"					
"lafU"	"G6114"					
"dinB"	"G6115"					
"yafN"	"G6116"					
"yafO"	"G6117"					
"yafP"	"G6118"					
"ykfJ"	"G6119"					
"prfH"	"EG11496"					
"frsA"	"EG11091"					
"ykfI"	"G6120"					
"yafW"	"G6121"					
"ykfG"	"G6122"					
"yafX"	"G6123"					
"ykfF"	"G6124"					
"ykfB"	"G6125"					
"yafY"	"G6126"					
"yafZ"	"G6127"					
"ykfA"	"G6128"					
"insN-1"	"G6130"					
"insO-1"	"G6132"					
"ykfC"	"G6133"					
"afuC"	"EG12340"					
"afuB"	"G6137"					
"yagB"	"EG12339"					
"yagE"	"G6140"					
"yagF"	"G6141"					
"yagG"	"G6142"					
"yagH"	"G6143"					
"yagJ"	"G6147"					
"yagK"	"G6148"					
"yagL"	"G6149"					
"yagM"	"G6150"					
"yagN"	"G6151"					
"intF"	"G6152"					
"paoD"	"G6154"					
"paoC"	"G6155"					
"paoB"	"G6156"					
"paoA"	"G6157"					
"yagU"	"G6158"					
"ykgJ"	"G6159"					
"ecpE"	"G6160"					
"ecpD"	"G6161"					
"ecpC"	"G6162"					
"ecpB"	"G6163"					
"ecpA"	"G6164"					
"ykgL"	"G6166"					
"ykgM"	"G6167"					
"eaeH"	"EG12161"					
"ykgB"	"G6171"					
"ykgI"	"G6173"					
"ykgC"	"G6174"					
"ykgH"	"G6180"					
"yahA"	"EG11236"					
"yahC"	"G6182"					
"yahE"	"G6184"					
"yahF"	"G6185"					
"yahG"	"G6186"					
"yahJ"	"G6189"					
"yahK"	"G6190"					
"yahL"	"G6191"					
"yahM"	"G6192"					
"yahN"	"G6193"					
"yahO"	"G6194"					
"prpE"	"G6200"					
"lacA"	"EG10524"					
"yaiL"	"G6207"					
"yaiO"	"G6210"					
"yaiX"	"G6211"					
"insC-1"	"G6212"					
"yaiF"	"G6214"					
"yaiP"	"G6215"					
"yaiS"	"G6216"					
"yaiT"	"G6222"					
"yaiU"	"G6225"					
"ampH"	"EG12867"					
"sbmA"	"EG10928"					
"yaiY"	"G6228"					
"yaiZ"	"G6229"					
"iraP"	"EG11256"					
"psiF"	"EG11401"					
"adrA"	"EG11257"					
"yaiI"	"G6230"					
"yaiA"	"EG11093"					
"aroM"	"EG10083"					
"yaiE"	"EG12159"					
"ykiA"	"G6231"					
"rdgC"	"EG12158"					
"araJ"	"EG10060"					
"sbcC"	"EG10927"					
"sbcD"	"EG11094"					
"phoR"	"EG10733"					
"proY"	"G6233"					
"queA"	"EG10812"					
"tgt"	"EG10996"					
"yajC"	"EG11096"					
"secD"	"EG10938"					
"secF"	"EG10940"					
"yajD"	"EG11097"					
"yajI"	"EG12874"					
"nusB"	"EG10666"					
"yajO"	"G6236"					
"xseB"	"EG11098"					
"yajL"	"G198"					
"yajQ"	"G6240"					
"yajR"	"G6241"					
"yajG"	"EG12182"					
"tig"	"EG11003"					
"clpP"	"EG10158"					
"clpX"	"EG10159"					
"lon"	"EG10542"					
"ppiD"	"G6242"					
"ybaV"	"G6243"					
"fadM"	"G6244"					
"ybaE"	"EG13217"					
"mdlA"	"G6248"					
"mdlB"	"EG11622"					
"glnK"	"EG12191"					
"ybaY"	"G6250"					
"atl"	"G6251"					
"ffs"	"EG30027"					
"ybaA"	"EG11099"					
"ylaB"	"G6252"					
"ylaC"	"G6253"					
"hha"	"EG10439"					
"tomB"	"EG12429"					
"mscK"	"G6255"					
"ybaM"	"EG12830"					
"priC"	"EG10765"					
"ybaN"	"EG12843"					
"dnaX"	"EG10245"					
"ybaB"	"EG11100"					
"recR"	"EG10834"					
"htpG"	"EG10461"					
"aes"	"EG11101"					
"ybaL"	"EG12623"					
"fsr"	"G6256"					
"ybaK"	"EG12454"					
"ybaP"	"G6258"					
"ybaT"	"G6262"					
"ybbJ"	"G6264"					
"qmcA"	"G6265"					
"ybbL"	"G6266"					
"ybbM"	"G6267"					
"ybbN"	"G6268"					
"ybbO"	"G6269"					
"ybbA"	"EG11657"					
"ybbP"	"G6270"					
"rhsD"	"EG10849"					
"ybbC"	"EG11769"					
"ylbH"	"G6271"					
"ybbD"	"EG11770"					
"b0501"						
"ybbB"	"EG11768"					
"ybbV"						
"ybbY"	"G6282"					
"allE"	"G6284"					
"fdrA"	"G6287"					
"ylbE_2"	"G6288"					
"ylbF"	"G6289"					
"ppiB"	"EG10758"					
"ybcI"	"EG12708"					
"ybcJ"	"EG12879"					
"sfmA"	"G6290"					
"sfmC"	"G6291"					
"sfmD"	"G6292"					
"sfmH"	"G6293"					
"sfmF"	"EG12388"					
"intD"	"EG10507"					
"ybcC"	"G6295"					
"renD"	"G6298"					
"emrE"	"EG10629"					
"ybcK"	"G6300"					
"ybcL"	"G6301"					
"ybcM"	"G6302"					
"ybcN"	"G6303"					
"ninE"	"G6304"					
"ybcO"	"G6305"					
"rusA"	"G6306"					
"ybcQ"	"G6307"					
"nmpC"	"EG10659"					
"essD"	"G6309"					
"rrrD"	"G6310"					
"rzpD"	"G6311"					
"borD"	"G6312"					
"ybcV"	"G6313"					
"ybcW"	"G6314"					
"tfaD"	"G6315"					
"ybcY"	"G6316"					
"tfaX"	"G6317"					
"ompT"	"EG10673"					
"ybcH"	"EG12448"					
"nfrA"	"EG11740"					
"nfrB"	"EG11739"					
"cusS"	"G6318"					
"ybdG"	"G6323"					
"ybdF"	"G6324"					
"ybdJ"	"G6325"					
"ybdK"	"G6326"					
"fepE"	"EG10297"					
"entH"	"EG11105"					
"cstA"	"EG10167"					
"ybdH"	"EG12692"					
"ybdL"	"G6329"					
"ybdM"	"G6330"					
"ybdN"	"G6331"					
"ahpC"	"EG11384"					
"ahpF"	"EG11385"					
"uspG"	"G6334"					
"ybdR"	"G6335"					
"rnk"	"G6337"					
"rna"	"EG10856"					
"citC"	"G6344"					
"dpiB"	"G6345"					
"crcB"	"EG12209"					
"ybeM_1"	"EG12208"					
"ybeM_2"	"G6348"					
"tatE"	"EG11305"					
"ybeD"	"EG11592"					
"rlpA"	"EG10854"					
"mrdB"	"EG10607"					
"rlmH"	"EG11254"					
"rsfS"	"EG11255"					
"holA"	"EG11412"					
"lptE"	"EG10855"					
"ybeL"	"EG12851"					
"ybeQ"	"G6351"					
"ybeR"	"G6352"					
"djlB"	"G6353"					
"ybeT"	"G6354"					
"ybeU"	"G6355"					
"djlC"	"G6356"					
"ybeX"	"G6361"					
"ybeY"	"G6362"					
"ybeZ"	"G6363"					
"miaB"	"G6364"					
"nagD"	"EG10634"					
"chiP"	"G6370"					
"ybfN"	"G6371"					
"ybfE"	"EG11775"					
"ybfF"	"EG11776"					
"seqA"	"EG12197"					
"ybfP"	"G6374"					
"ybfG"	"EG11777"					
"ybfH"	"EG11778"					
"kdpD"	"EG10516"					
"ybfA"	"EG11521"					
"ybfB"	"EG11522"					
"ybfO"	"G6376"					
"ybfC"	"EG11523"					
"ybfD"	"EG11524"					
"ybgA"	"EG11108"					
"phr"	"EG10736"					
"ybgI"	"G6379"					
"ybgJ"	"G6380"					
"ybgK"	"G6381"					
"ybgL"	"G6382"					
"nei"	"G6383"					
"ybgO"	"G6385"					
"ybgP"	"G6386"					
"ybgQ"	"G6387"					
"ybgD"	"EG12359"					
"ybgE"	"EG12395"					
"tolQ"	"EG11010"					
"tolR"	"EG11011"					
"tolA"	"EG11007"					
"tolB"	"EG11008"					
"pal"	"EG10684"					
"ybgF"	"EG12854"					
"ybgS"	"G6394"					
"modF"	"EG11677"					
"acrZ"	"G6396"					
"ybhH"	"G6399"					
"ybhI"	"G6400"					
"ybhJ"	"G6401"					
"ybhC"	"EG12875"					
"ybhB"	"EG11238"					
"uvrB"	"EG11062"					
"ybhK"	"G6402"					
"moaB"	"EG11596"					
"ybhL"	"G6403"					
"ybhM"	"G6404"					
"ybhP"	"G6407"					
"ybhQ"	"G6408"					
"ybhR"	"G6409"					
"ybhS"	"G6410"					
"ybhF"	"G6411"					
"ybhG"	"G6412"					
"rhlE"	"EG11235"					
"ybiA"	"EG11579"					
"dinG"	"EG11357"					
"ybiB"	"EG11580"					
"ybiC"	"EG11581"					
"ybiJ"	"EG12422"					
"ybiI"	"EG12421"					
"ybiX"	"G6413"					
"mcbA"	"G6415"					
"rlmF"	"G6416"					
"ybiO"	"G6417"					
"dps"	"EG11415"					
"ompX"	"EG12117"					
"ybiP"	"G6418"					
"ybiR"	"G6421"					
"ybiS"	"G6422"					
"ybiT"	"G6423"					
"ybiU"	"G6424"					
"ybiW"	"G6426"					
"ybiY"	"G6427"					
"yliE"	"G6433"					
"yliF"	"G6434"					
"rimO"	"G6435"					
"bssR"	"G6436"					
"gstB"	"G6438"					
"ybjH"	"G6441"					
"ybjI"	"G6442"					
"ybjJ"	"G6443"					
"ybjL"	"G6445"					
"ybjM"	"G6446"					
"ybjC"	"EG12842"					
"nfsA"	"EG11261"					
"rimK"	"EG10852"					
"ybjN"	"G6447"					
"ybjO"	"G6448"					
"rlmC"	"G6449"					
"ybjP"	"G6450"					
"ybjQ"	"G6451"					
"amiD"	"G6452"					
"ybjS"	"G6453"					
"ybjT"	"G6454"					
"hcr"	"G6456"					
"hcp"	"G6457"					
"ybjE"	"G6458"					
"ybjD"	"G6459"					
"ybjX"	"G6460"					
"macA"	"G6461"					
"macB"	"G6462"					
"cspD"	"EG11111"					
"clpS"	"G6463"					
"clpA"	"EG10156"					
"infA"	"EG10504"					
"aat"	"EG11112"					
"ftsK"	"G6464"					
"lolA"	"G6465"					
"rarA"	"EG12690"					
"ycaC"	"EG11241"					
"ycaD"	"EG11242"					
"ycaM"	"G6466"					
"ycaK"	"EG12702"					
"ycaO"	"G6468"					
"ycaP"	"G6469"					
"ycaL"	"G6470"					
"rpsA"	"EG10900"					
"ycaI"	"EG12375"					
"ycaQ"	"G6471"					
"ycaR"	"G6472"					
"ycbJ"	"G6473"					
"ycbC"	"EG12166"					
"smtA"	"EG12167"					
"mukF"	"EG12165"					
"mukE"	"EG11252"					
"mukB"	"EG10618"					
"ycbB"	"EG11253"					
"ycbK"	"G6474"					
"ycbL"	"G6475"					
"elfA"	"G6480"					
"elfD"	"G6481"					
"elfC"	"G6482"					
"elfG"	"G6483"					
"ycbU"	"G6484"					
"ycbV"	"G6485"					
"ycbF"	"EG12397"					
"zapC"	"G6486"					
"ycbX"	"G6487"					
"rlmL"	"G6488"					
"uup"	"G6489"					
"pqiA"	"G6490"					
"pqiB"	"G6491"					
"ymbA"	"G6492"					
"rmf"	"EG50004"					
"ycbZ"	"G6493"					
"matP"	"EG12855"					
"sulA"	"EG10984"					
"sxy"	"G6494"					
"yccS"	"G6495"					
"yccF"	"G6496"					
"helD"	"EG10426"					
"yccT"	"G6498"					
"yccU"	"G6499"					
"hspQ"	"G6500"					
"rlmI"	"G6501"					
"tusE"	"EG12876"					
"yccA"	"EG11113"					
"hyaD"	"EG10471"					
"hyaE"	"EG10472"					
"hyaF"	"EG10473"					
"etk"	"EG11826"					
"etp"	"G6503"					
"gfcE"	"G6504"					
"gfcD"	"G6505"					
"gfcC"	"G6506"					
"gfcB"	"G6507"					
"gfcA"	"G6508"					
"cspH"	"G6510"					
"cspG"	"G6511"					
"ymcE"	"G6512"					
"yccM"	"G6513"					
"torS"	"G6514"					
"torT"	"G6515"					
"torD"	"EG12195"					
"cbpM"	"EG12194"					
"cbpA"	"EG12193"					
"yccE"	"EG12196"					
"yccJ"	"EG12703"					
"wrbA"	"EG11540"					
"efeU_1"	"G6525"					
"efeO"	"G6527"					
"efeB"	"EG11735"					
"phoH"	"EG11734"					
"pgaD"	"G6528"					
"pgaC"	"G6529"					
"pgaB"	"G6530"					
"pgaA"	"G6531"					
"ycdT"	"G6532"					
"ymdE"	"G6535"					
"ycdU"	"G6536"					
"ycdX"	"G6540"					
"ycdY"	"G6541"					
"ycdZ"	"G6542"					
"csgG"	"G6543"					
"csgF"	"G6544"					
"csgE"	"G6545"					
"csgB"	"G6547"					
"csgA"	"EG11489"					
"csgC"	"G6548"					
"ymdA"	"G6549"					
"ymdB"	"G6550"					
"ymdC"	"G6551"					
"mdoC"	"G6552"					
"mdoG"	"EG11885"					
"mdoH"	"EG11886"					
"yceK"	"EG12689"					
"msyB"	"EG11338"					
"mdtG"	"EG11343"					
"yceA"	"EG11116"					
"yceI"	"EG11820"					
"yceJ"	"G6554"					
"yceO"	"G6555"					
"bssS"	"G6557"					
"dinI"	"G6558"					
"yceB"	"EG11117"					
"mdtH"	"G6559"					
"rimJ"	"EG10851"					
"yceH"	"EG11537"					
"yceM"	"G6560"					
"flgN"	"G6562"					
"flgA"	"G357"					
"flgB"	"G358"					
"flgC"	"G359"					
"flgD"	"G360"					
"flgE"	"G361"					
"flgF"	"G362"					
"flgG"	"G363"					
"flgH"	"G364"					
"flgI"	"G365"					
"flgJ"	"G366"					
"flgK"	"EG11967"					
"flgL"	"EG11545"					
"rne"	"EG10859"					
"yceQ"	"G6563"					
"rluC"	"EG11118"					
"yceF"	"EG11438"					
"yceD"	"EG11119"					
"rpmF"	"EG10890"					
"yceG"	"EG11494"					
"holB"	"EG11500"					
"ycfH"	"EG12303"					
"hinT"	"EG12172"					
"ycfL"	"G6564"					
"lpoB"	"G6565"					
"ycfP"	"G6568"					
"ycfJ"	"EG12444"					
"bhsA"	"G6570"					
"ycfS"	"G6571"					
"mfd"	"EG11619"					
"ycfT"	"G6572"					
"lolC"	"G6573"					
"lolD"	"G6574"					
"lolE"	"G6575"					
"cobB"	"G6577"					
"ycfZ"	"G6578"					
"ymfA"	"G6579"					
"pepT"	"EG11549"					
"ycfD"	"EG11430"					
"phoQ"	"EG10732"					
"hflD"	"EG11345"					
"mnmA"	"EG11344"					
"rluE"	"G6581"					
"ymfD"	"G6582"					
"ymfE"	"G6583"					
"lit"	"EG10535"					
"intE"	"EG12370"					
"xisE"	"G6585"					
"ymfH"	"G6586"					
"ymfI"	"G6587"					
"ymfJ"	"G6588"					
"ymfK"	"G6589"					
"ymfM"	"G6592"					
"ymfR"	"G6594"					
"ymfO"	"G6595"					
"ymfP"	"G6596"					
"ymfQ"	"G6597"					
"ycfK"	"EG12877"					
"ymfS"	"G6598"					
"tfaE"	"EG11120"					
"stfE"	"G6599"					
"pinE"	"EG10737"					
"mcrA"	"EG10573"					
"iraM"	"G6600"					
"ycgX"	"G6601"					
"bluF"	"G6603"					
"ycgZ"	"G6604"					
"ymgA"	"G6605"					
"ariR"	"G6606"					
"ymgC"	"G6607"					
"ycgG"	"G6608"					
"ycgH_1"	"G6609"					
"ycgH_2"	"G6610"					
"ymgD"	"G6611"					
"ymgG"	"G6612"					
"minE"	"EG10598"					
"minD"	"EG10597"					
"minC"	"EG10596"					
"ycgJ"	"G6614"					
"pliG"	"G6615"					
"ycgL"	"G6616"					
"ycgM"	"G6617"					
"ycgN"	"G6618"					
"hlyE"	"G6619"					
"umuD"	"EG11057"					
"umuC"	"EG11056"					
"ycgB"	"EG11516"					
"cvrA"	"G6620"					
"ycgR"	"G6623"					
"ymgE"	"G6624"					
"ycgY"	"G6625"					
"ycgV"	"G6629"					
"ychF"	"EG11404"					
"pth"	"EG10785"					
"ychH"	"EG11533"					
"lolB"	"EG11293"					
"prfA"	"EG10761"					
"prmC"	"EG12424"					
"chaB"	"EG12402"					
"chaC"	"EG12403"					
"ychN"	"EG12404"					
"ychO"	"EG12405"					
"narX"	"EG10646"					
"ychS"	"G6631"					
"tpr"	"EG11016"					
"ychJ"	"EG12119"					
"rssA"	"EG12120"					
"rssB"	"EG12121"					
"ychG_2"	"EG11611"					
"ychG_1"	"G6632"					
"ychE"	"EG11342"					
"yciU"	"G6633"					
"yciI"	"EG11607"					
"yciA"	"EG11121"					
"yciB"	"EG11122"					
"yciC"	"EG11123"					
"ompW"	"EG11124"					
"yciE"	"EG11125"					
"yciF"	"EG11126"					
"yciG"	"EG11127"					
"trpL"	"EG11274"					
"yciV"	"G6634"					
"yciO"	"G6635"					
"yciQ"	"G6636"					
"rluB"	"EG12433"					
"yciK"	"EG11759"					
"sohB"	"EG10956"					
"yciN"	"EG12868"					
"topA"	"EG11013"					
"yciS"	"G6637"					
"yciM"	"EG12691"					
"yciH"	"EG11128"					
"osmB"	"EG10679"					
"gmr"	"G6639"					
"rnb"	"EG11620"					
"yciW"	"G6640"					
"ycjD"	"G6641"					
"sapF"	"EG12305"					
"sapC"	"G2000"					
"sapB"	"G2001"					
"sapA"	"G2002"					
"ymjA"	"G6642"					
"pspA"	"EG10776"					
"pspD"	"EG10779"					
"ycjM"	"G6647"					
