Frame ID	Name	Unmodified Form	Location	Reaction ID	Reaction Enzyme	EC	Reaction	Mass balance?	EC	Comments
charged-ileX-tRNA	tRNAileX	ileX-tRNA	"[""CCO-CYTOSOL""]"	"[""ISOLEUCINE--TRNA-LIGASE-RXN""]"	"[[""ILES-MONOMER""]]"	[null]	"[""[c]: PROTON + ileX-tRNA + ILE + atp ==> charged-ileX-tRNA + ppi + amp""]"	"[""Balanced.""]"	[null]	
charged-leuP-tRNA	tRNAleuP	leuP-tRNA	"[""CCO-CYTOSOL""]"	"[""LEUCINE--TRNA-LIGASE-RXN""]"	"[[""LEUS-MONOMER""]]"	[null]	"[""[c]: PROTON + leuP-tRNA + leu-L + atp ==> charged-leuP-tRNA + ppi + amp""]"	"[""Balanced.""]"	[null]	
charged-leuQ-tRNA	tRNAleuQ	leuQ-tRNA	"[""CCO-CYTOSOL""]"	"[""LEUCINE--TRNA-LIGASE-RXN""]"	"[[""LEUS-MONOMER""]]"	[null]	"[""[c]: PROTON + leuQ-tRNA + leu-L + atp ==> charged-leuQ-tRNA + ppi + amp""]"	"[""Balanced.""]"	[null]	
charged-leuT-tRNA	tRNAleuT	leuT-tRNA	"[""CCO-CYTOSOL""]"	"[""LEUCINE--TRNA-LIGASE-RXN""]"	"[[""LEUS-MONOMER""]]"	[null]	"[""[c]: PROTON + leuT-tRNA + leu-L + atp ==> charged-leuT-tRNA + ppi + amp""]"	"[""Balanced.""]"	[null]	
charged-leuU-tRNA	tRNAleuU	leuU-tRNA	"[""CCO-CYTOSOL""]"	"[""LEUCINE--TRNA-LIGASE-RXN""]"	"[[""LEUS-MONOMER""]]"	[null]	"[""[c]: PROTON + leuU-tRNA + leu-L + atp ==> charged-leuU-tRNA + ppi + amp""]"	"[""Balanced.""]"	[null]	
charged-leuV-tRNA	tRNAleuV	leuV-tRNA	"[""CCO-CYTOSOL""]"	"[""LEUCINE--TRNA-LIGASE-RXN""]"	"[[""LEUS-MONOMER""]]"	[null]	"[""[c]: PROTON + leuV-tRNA + leu-L + atp ==> charged-leuV-tRNA + ppi + amp""]"	"[""Balanced.""]"	[null]	
charged-leuW-tRNA	tRNAleuW	leuW-tRNA	"[""CCO-CYTOSOL""]"	"[""LEUCINE--TRNA-LIGASE-RXN""]"	"[[""LEUS-MONOMER""]]"	[null]	"[""[c]: PROTON + leuW-tRNA + leu-L + atp ==> charged-leuW-tRNA + ppi + amp""]"	"[""Balanced.""]"	[null]	
charged-leuX-tRNA	tRNAleuX	leuX-tRNA	"[""CCO-CYTOSOL""]"	"[""LEUCINE--TRNA-LIGASE-RXN""]"	"[[""LEUS-MONOMER""]]"	[null]	"[""[c]: PROTON + leuX-tRNA + leu-L + atp ==> charged-leuX-tRNA + ppi + amp""]"	"[""Balanced.""]"	[null]	
charged-leuZ-tRNA	tRNAleuZ	leuZ-tRNA	"[""CCO-CYTOSOL""]"	"[""LEUCINE--TRNA-LIGASE-RXN""]"	"[[""LEUS-MONOMER""]]"	[null]	"[""[c]: PROTON + leuZ-tRNA + leu-L + atp ==> charged-leuZ-tRNA + ppi + amp""]"	"[""Balanced.""]"	[null]	
charged-lysT-tRNA	tRNAlysT	lysT-tRNA	"[""CCO-CYTOSOL""]"	"[""LYSINE--TRNA-LIGASE-RXN""]"	"[[""LYSS-CPLX"", ""LYSU-CPLX""]]"	[null]	"[""[c]: PROTON + lys-L + lysT-tRNA + atp ==> charged-lysT-tRNA + ppi + amp""]"	"[""Balanced.""]"	[null]	
charged-lysV-tRNA	tRNAlysV	lysV-tRNA	"[""CCO-CYTOSOL""]"	"[""LYSINE--TRNA-LIGASE-RXN""]"	"[[""LYSS-CPLX"", ""LYSU-CPLX""]]"	[null]	"[""[c]: PROTON + lys-L + lysV-tRNA + atp ==> charged-lysV-tRNA + ppi + amp""]"	"[""Balanced.""]"	[null]	
charged-lysW-tRNA	tRNAlysW	lysW-tRNA	"[""CCO-CYTOSOL""]"	"[""LYSINE--TRNA-LIGASE-RXN""]"	"[[""LYSS-CPLX"", ""LYSU-CPLX""]]"	[null]	"[""[c]: PROTON + lys-L + lysW-tRNA + atp ==> charged-lysW-tRNA + ppi + amp""]"	"[""Balanced.""]"	[null]	
charged-metT-tRNA	tRNAmetT	metT-tRNA	"[""CCO-CYTOSOL""]"	"[""METHIONINE--TRNA-LIGASE-RXN""]"	"[[""METG-CPLX""]]"	[null]	"[""[c]: PROTON + metT-tRNA + met-L + atp ==> charged-metT-tRNA + ppi + amp""]"	"[""Balanced.""]"	[null]	
charged-metU-tRNA	tRNAmetU	metU-tRNA	"[""CCO-CYTOSOL""]"	"[""METHIONINE--TRNA-LIGASE-RXN""]"	"[[""METG-CPLX""]]"	[null]	"[""[c]: PROTON + metU-tRNA + met-L + atp ==> charged-metU-tRNA + ppi + amp""]"	"[""Balanced.""]"	[null]	
charged-pheU-tRNA	tRNApheU	pheU-tRNA	"[""CCO-CYTOSOL""]"	"[""PHENYLALANINE--TRNA-LIGASE-RXN""]"	"[[""PHES-CPLX""]]"	[null]	"[""[c]: PROTON + pheU-tRNA + phe-L + atp ==> charged-pheU-tRNA + ppi + amp""]"	"[""Balanced.""]"	[null]	
charged-pheV-tRNA	tRNApheV	pheV-tRNA	"[""CCO-CYTOSOL""]"	"[""PHENYLALANINE--TRNA-LIGASE-RXN""]"	"[[""PHES-CPLX""]]"	[null]	"[""[c]: PROTON + pheV-tRNA + phe-L + atp ==> charged-pheV-tRNA + ppi + amp""]"	"[""Balanced.""]"	[null]	
charged-proK-tRNA	tRNAproK	proK-tRNA	"[""CCO-CYTOSOL""]"	"[""PROLINE--TRNA-LIGASE-RXN""]"	"[[""PROS-CPLX""]]"	[null]	"[""[c]: PROTON + proK-tRNA + PRO + atp ==> charged-proK-tRNA + ppi + amp""]"	"[""Balanced.""]"	[null]	
charged-proL-tRNA	tRNAproL	proL-tRNA	"[""CCO-CYTOSOL""]"	"[""PROLINE--TRNA-LIGASE-RXN""]"	"[[""PROS-CPLX""]]"	[null]	"[""[c]: PROTON + proL-tRNA + PRO + atp ==> charged-proL-tRNA + ppi + amp""]"	"[""Balanced.""]"	[null]	
charged-proM-tRNA	tRNAproM	proM-tRNA	"[""CCO-CYTOSOL""]"	"[""PROLINE--TRNA-LIGASE-RXN""]"	"[[""PROS-CPLX""]]"	[null]	"[""[c]: PROTON + proM-tRNA + PRO + atp ==> charged-proM-tRNA + ppi + amp""]"	"[""Balanced.""]"	[null]	
charged-selC-tRNA	tRNAsec	selC-tRNA	"[""CCO-CYTOSOL""]"	"[""SERINE--TRNA-LIGASE-RXN""]"	"[[""SERS-CPLX""]]"	[null]	"[""[c]: PROTON + selC-tRNA + SER + atp ==> charged-selC-tRNA + ppi + amp""]"	"[""Balanced.""]"	[null]	
charged-serT-tRNA	tRNAserT	serT-tRNA	"[""CCO-CYTOSOL""]"	"[""SERINE--TRNA-LIGASE-RXN""]"	"[[""SERS-CPLX""]]"	[null]	"[""[c]: PROTON + serT-tRNA + SER + atp ==> charged-serT-tRNA + ppi + amp""]"	"[""Balanced.""]"	[null]	
charged-serU-tRNA	tRNAserU	serU-tRNA	"[""CCO-CYTOSOL""]"	"[""SERINE--TRNA-LIGASE-RXN""]"	"[[""SERS-CPLX""]]"	[null]	"[""[c]: PROTON + serU-tRNA + SER + atp ==> charged-serU-tRNA + ppi + amp""]"	"[""Balanced.""]"	[null]	
charged-serV-tRNA	tRNAserV	serV-tRNA	"[""CCO-CYTOSOL""]"	"[""SERINE--TRNA-LIGASE-RXN""]"	"[[""SERS-CPLX""]]"	[null]	"[""[c]: PROTON + serV-tRNA + SER + atp ==> charged-serV-tRNA + ppi + amp""]"	"[""Balanced.""]"	[null]	
charged-serW-tRNA	tRNAserW	serW-tRNA	"[""CCO-CYTOSOL""]"	"[""SERINE--TRNA-LIGASE-RXN""]"	"[[""SERS-CPLX""]]"	[null]	"[""[c]: PROTON + serW-tRNA + SER + atp ==> charged-serW-tRNA + ppi + amp""]"	"[""Balanced.""]"	[null]	
charged-serX-tRNA	tRNAserX	serX-tRNA	"[""CCO-CYTOSOL""]"	"[""SERINE--TRNA-LIGASE-RXN""]"	"[[""SERS-CPLX""]]"	[null]	"[""[c]: PROTON + serX-tRNA + SER + atp ==> charged-serX-tRNA + ppi + amp""]"	"[""Balanced.""]"	[null]	
charged-thrT-tRNA	tRNAthrT	thrT-tRNA	"[""CCO-CYTOSOL""]"	"[""THREONINE--TRNA-LIGASE-RXN""]"	"[[""THRS-CPLX""]]"	[null]	"[""[c]: PROTON + thrT-tRNA + THR + atp ==> charged-thrT-tRNA + ppi + amp""]"	"[""Balanced.""]"	[null]	
charged-thrU-tRNA	tRNAthrU	thrU-tRNA	"[""CCO-CYTOSOL""]"	"[""THREONINE--TRNA-LIGASE-RXN""]"	"[[""THRS-CPLX""]]"	[null]	"[""[c]: PROTON + thrU-tRNA + THR + atp ==> charged-thrU-tRNA + ppi + amp""]"	"[""Balanced.""]"	[null]	
charged-thrV-tRNA	tRNAthrV	thrV-tRNA	"[""CCO-CYTOSOL""]"	"[""THREONINE--TRNA-LIGASE-RXN""]"	"[[""THRS-CPLX""]]"	[null]	"[""[c]: PROTON + thrV-tRNA + THR + atp ==> charged-thrV-tRNA + ppi + amp""]"	"[""Balanced.""]"	[null]	
charged-thrW-tRNA	tRNAthrW	thrW-tRNA	"[""CCO-CYTOSOL""]"	"[""THREONINE--TRNA-LIGASE-RXN""]"	"[[""THRS-CPLX""]]"	[null]	"[""[c]: PROTON + thrW-tRNA + THR + atp ==> charged-thrW-tRNA + ppi + amp""]"	"[""Balanced.""]"	[null]	
charged-trpT-tRNA	tRNAtrpT	trpT-tRNA	"[""CCO-CYTOSOL""]"	"[""TRYPTOPHAN--TRNA-LIGASE-RXN""]"	"[[""TRPS-CPLX""]]"	[null]	"[""[c]: PROTON + trp-L + trpT-tRNA + atp ==> charged-trpT-tRNA + ppi + amp""]"	"[""Balanced.""]"	[null]	
charged-tyrT-tRNA	tRNAtyrT	tyrT-tRNA	"[""CCO-CYTOSOL""]"	"[""TYROSINE--TRNA-LIGASE-RXN""]"	"[[""TYRS-CPLX""]]"	[null]	"[""[c]: PROTON + tyrT-tRNA + tyr-L + atp ==> charged-tyrT-tRNA + ppi + amp""]"	"[""Balanced.""]"	[null]	
