ID	Name	Gene	Location	Modified form	Comments
glyY-tRNA	tRNAglyY	EG30041	"[""CCO-CYTOSOL""]"	"[""charged-glyY-tRNA""]"	"Assumed in CCO-CYTOSOL
"
hisR-tRNA	tRNAhisR	EG30042	"[""CCO-CYTOSOL""]"	"[""charged-hisR-tRNA""]"	"Assumed in CCO-CYTOSOL
"
ileT-tRNA	tRNAileT	EG30043	"[""CCO-CYTOSOL""]"	"[""charged-ileT-tRNA""]"	"Assumed in CCO-CYTOSOL
"
ileU-tRNA	tRNAileU	EG30044	"[""CCO-CYTOSOL""]"	"[""charged-ileU-tRNA""]"	"Assumed in CCO-CYTOSOL
"
ileV-tRNA	tRNAileV	EG30045	"[""CCO-CYTOSOL""]"	"[""charged-ileV-tRNA""]"	"Assumed in CCO-CYTOSOL
"
ileX-tRNA	tRNAileX	EG30046	"[""CCO-CYTOSOL""]"	"[""charged-ileX-tRNA""]"	"Assumed in CCO-CYTOSOL
"
leuP-tRNA	tRNAleuP	EG30047	"[""CCO-CYTOSOL""]"	"[""charged-leuP-tRNA""]"	"Assumed in CCO-CYTOSOL
"
leuQ-tRNA	tRNAleuQ	EG30048	"[""CCO-CYTOSOL""]"	"[""charged-leuQ-tRNA""]"	"Assumed in CCO-CYTOSOL
"
leuT-tRNA	tRNAleuT	EG30049	"[""CCO-CYTOSOL""]"	"[""charged-leuT-tRNA""]"	"Assumed in CCO-CYTOSOL
"
leuU-tRNA	tRNAleuU	EG30050	"[""CCO-CYTOSOL""]"	"[""charged-leuU-tRNA""]"	"Assumed in CCO-CYTOSOL
"
leuV-tRNA	tRNAleuV	EG30051	"[""CCO-CYTOSOL""]"	"[""charged-leuV-tRNA""]"	"Assumed in CCO-CYTOSOL
"
leuW-tRNA	tRNAleuW	EG30052	"[""CCO-CYTOSOL""]"	"[""charged-leuW-tRNA""]"	"Assumed in CCO-CYTOSOL
"
leuX-tRNA	tRNAleuX	EG30053	"[""CCO-CYTOSOL""]"	"[""charged-leuX-tRNA""]"	"Assumed in CCO-CYTOSOL
"
leuZ-tRNA	tRNAleuZ	EG30054	"[""CCO-CYTOSOL""]"	"[""charged-leuZ-tRNA""]"	"Assumed in CCO-CYTOSOL
"
lysT-tRNA	tRNAlysT	EG30055	"[""CCO-CYTOSOL""]"	"[""charged-lysT-tRNA""]"	"Assumed in CCO-CYTOSOL
"
lysV-tRNA	tRNAlysV	EG30056	"[""CCO-CYTOSOL""]"	"[""charged-lysV-tRNA""]"	"Assumed in CCO-CYTOSOL
"
lysW-tRNA	tRNAlysW	EG30057	"[""CCO-CYTOSOL""]"	"[""charged-lysW-tRNA""]"	"Assumed in CCO-CYTOSOL
"
metT-tRNA	tRNAmetT	EG30058	"[""CCO-CYTOSOL""]"	"[""charged-metT-tRNA""]"	"Assumed in CCO-CYTOSOL
"
metU-tRNA	tRNAmetU	EG30059	"[""CCO-CYTOSOL""]"	"[""charged-metU-tRNA""]"	"Assumed in CCO-CYTOSOL
"
metW-tRNA	tRNAmetW	EG31117	"[""CCO-CYTOSOL""]"	"[""RNA0-319"", ""CHARGED-FMETW-TRNA""]"	"Assumed in CCO-CYTOSOL
"
metY-tRNA	tRNAmetY	EG30061	"[""CCO-CYTOSOL""]"	"[""RNA0-322"", ""CHARGED-FMETY-TRNA""]"	"Assumed in CCO-CYTOSOL
"
metZ-tRNA	tRNAmetZ	EG30062	"[""CCO-CYTOSOL""]"	"[""RNA0-323"", ""CHARGED-FMETZ-TRNA""]"	"Assumed in CCO-CYTOSOL
"
pheU-tRNA	tRNApheU	EG30064	"[""CCO-CYTOSOL""]"	"[""charged-pheU-tRNA""]"	"Assumed in CCO-CYTOSOL
"
pheV-tRNA	tRNApheV	EG30065	"[""CCO-CYTOSOL""]"	"[""charged-pheV-tRNA""]"	"Assumed in CCO-CYTOSOL
"
proK-tRNA	tRNAproK	EG30066	"[""CCO-CYTOSOL""]"	"[""charged-proK-tRNA""]"	"Assumed in CCO-CYTOSOL
"
proL-tRNA	tRNAproL	EG30067	"[""CCO-CYTOSOL""]"	"[""charged-proL-tRNA""]"	"Assumed in CCO-CYTOSOL
"
proM-tRNA	tRNAproM	EG30068	"[""CCO-CYTOSOL""]"	"[""charged-proM-tRNA""]"	"Assumed in CCO-CYTOSOL
"
selC-tRNA	tRNAsec	EG30092	"[""CCO-CYTOSOL""]"	"[""modified-charged-selC-tRNA"", ""charged-selC-tRNA""]"	"Assumed in CCO-CYTOSOL
"
serT-tRNA	tRNAserT	EG30093	"[""CCO-CYTOSOL""]"	"[""charged-serT-tRNA""]"	"Assumed in CCO-CYTOSOL
"
serU-tRNA	tRNAserU	EG30094	"[""CCO-CYTOSOL""]"	"[""charged-serU-tRNA""]"	"Assumed in CCO-CYTOSOL
"
serV-tRNA	tRNAserV	EG30095	"[""CCO-CYTOSOL""]"	"[""charged-serV-tRNA""]"	"Assumed in CCO-CYTOSOL
"
serW-tRNA	tRNAserW	EG30096	"[""CCO-CYTOSOL""]"	"[""charged-serW-tRNA""]"	"Assumed in CCO-CYTOSOL
"
serX-tRNA	tRNAserX	EG30097	"[""CCO-CYTOSOL""]"	"[""charged-serX-tRNA""]"	"Assumed in CCO-CYTOSOL
"
thrT-tRNA	tRNAthrT	EG30101	"[""CCO-CYTOSOL""]"	"[""charged-thrT-tRNA""]"	"Assumed in CCO-CYTOSOL
"
thrU-tRNA	tRNAthrU	EG30102	"[""CCO-CYTOSOL""]"	"[""charged-thrU-tRNA""]"	"Assumed in CCO-CYTOSOL
"
thrV-tRNA	tRNAthrV	EG30103	"[""CCO-CYTOSOL""]"	"[""charged-thrV-tRNA""]"	"Assumed in CCO-CYTOSOL
"
thrW-tRNA	tRNAthrW	EG30104	"[""CCO-CYTOSOL""]"	"[""charged-thrW-tRNA""]"	"Assumed in CCO-CYTOSOL
"
trpT-tRNA	tRNAtrpT	EG30105	"[""CCO-CYTOSOL""]"	"[""charged-trpT-tRNA""]"	"Assumed in CCO-CYTOSOL
"
