Frame ID	Name	pH 7.2 formula	pH 7.2 charge	pH 7.2 Weight	Feist formula	Media Concentration (mM)	Biomass information	Maximum exchange rate (mmol/gDSW/hr)	Fake metabolite	Equivalent enzyme frameId	Comments
2dmmq8	2-Demethylmenaquinone 8	C50H70O2	0	703.1010000000	C50H70O2		"{""core"": [], ""wildtype"": []}"			[]	
2dmmql8	2-Demethylmenaquinol 8	C50H72O2	0	705.1168000000	C50H72O2		"{""core"": [], ""wildtype"": []}"			[]	
2dr1p	2-Deoxy-D-ribose 1-phosphate	C5H10O7P	-1	213.1010000000	C5H9O7P		"{""core"": [], ""wildtype"": []}"			[]	
2dr5p	2-Deoxy-D-ribose 5-phosphate	C5H10O7P	-1	213.1010000000	C5H9O7P		"{""core"": [], ""wildtype"": []}"			[]	
2h3oppan	2-Hydroxy-3-oxopropanoate	C3H3O4	-1	103.0527000000	C3H3O4		"{""core"": [], ""wildtype"": []}"			[]	
2hdec9eg3p	2-hexadec-9-enoyl-sn-glycerol 3-phosphate	C19H36O7P	-1	407.4604000000	C19H36O7P1		"{""core"": [], ""wildtype"": []}"			[]	
2hdecg3p	2-hexadecanoyl-sn-glycerol 3-phosphate	C19H38O7P	-1	409.4762000000	C19H38O7P1		"{""core"": [], ""wildtype"": []}"			[]	
2ippm	2-Isopropylmaleate	C7H8O4	-2	156.1362000000	C7H8O4		"{""core"": [], ""wildtype"": []}"			[]	
2kmb	2-keto-4-methylthiobutyrate	C5H7O3S	-1	147.1673000000	C5H7O3S		"{""core"": [], ""wildtype"": []}"			[]	
2mahmp	2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphate	C6H9N3O7P2	-2	297.0991000000	C6H8N3O7P2		"{""core"": [], ""wildtype"": []}"			[]	
2mcacn	cis-2-Methylaconitate	C7H5O6	-3	185.1105000000	C7H5O6		"{""core"": [], ""wildtype"": []}"			[]	
2mcit	2-Methylcitrate	C7H7O7	-3	203.1253000000	C7H7O7		"{""core"": [], ""wildtype"": []}"			[]	
2me4p	2-C-methyl-D-erythritol 4-phosphate	C5H12O7P	-1	215.1168000000	C5H11O7P		"{""core"": [], ""wildtype"": []}"			[]	
2mecdp	2-C-methyl-D-erythritol 2,4-cyclodiphosphate	C5H10O9P2	-2	276.0730000000	C5H10O9P2		"{""core"": [], ""wildtype"": []}"			[]	
2obut	2-Oxobutanoate	C4H5O3	-1	101.0805000000	C4H5O3		"{""core"": [], ""wildtype"": []}"			[]	
2odec11eg3p	2-octadec-11-enoyl-sn-glycerol 3-phosphate	C21H40O7P	-1	435.5140000000	C21H40O7P1		"{""core"": [], ""wildtype"": []}"			[]	
2odecg3p	2-octadecanoyl-sn-glycerol 3-phosphate	C21H42O7P	-1	437.5298000000	C21H42O7P1		"{""core"": [], ""wildtype"": []}"			[]	
2ohph	2-Octaprenyl-6-hydroxyphenol	C46H70O2	0	655.0570000000	C46H70O2		"{""core"": [{""mmol/gDCW"": 0.000223, ""location"": ""c""}], ""wildtype"": [{""mmol/gDCW"": 0.000223, ""location"": ""c""}]}"			[]	
2ombzl	2-Octaprenyl-6-methoxy-1,4-benzoquinol	C47H72O3	0	685.0828000000	C47H72O3		"{""core"": [], ""wildtype"": []}"			[]	
2omhmbl	2-Octaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinol	C48H74O4	0	715.1086000000	C48H74O4		"{""core"": [], ""wildtype"": []}"			[]	
2ommbl	2-Octaprenyl-3-methyl-6-methoxy- 1,4-benzoquinol	C48H74O3	0	699.1096000000	C48H74O3		"{""core"": [], ""wildtype"": []}"			[]	
2omph	2-Octaprenyl-6-methoxyphenol	C47H72O2	0	669.0838000000	C47H72O2		"{""core"": [], ""wildtype"": []}"			[]	
2oph	2-Octaprenylphenol	C46H70O	0	639.0580000000	C46H70O		"{""core"": [], ""wildtype"": []}"			[]	
