"Gene"	"M9 Glucose minus AAs"	"N limited Glucose minus AAs"	"M9 Glucose plus AAs"	"M9 Glycerol plus AAs"	"P limited Glucose plus AAs"
"G7190"	2.22	2.95	6.23	2.55	2.25333333333
"G7191"	171.9	133.626666667	106.65	167.333333333	158.33
"G7192"	128.126666667	105.173333333	98.4633333333	151.376666667	185.74
"G7193"	42.52	46.4366666667	23.0233333333	33.44	59.9733333333
"G7194"	14.4866666667	12.2166666667	3.29333333333	15.3833333333	87.7466666667
"G7195"	198.176666667	203.126666667	144.173333333	206.02	218.106666667
"G7196"	118.463333333	108.99	84.4033333333	134.27	175.233333333
"G7197"	10.1933333333	9.12666666667	9.50666666667	10.9933333333	8.0
"G7198"	11.0966666667	11.19	7.49333333333	7.71333333333	5.28666666667
"G7199"	21.6433333333	19.81	27.5033333333	18.5933333333	24.2633333333
"G7200"	280.333333333	368.566666667	267.85	133.666666667	103.356666667
"G7201"	80.6833333333	100.223333333	73.04	35.42	56.6766666667
"G7202"	64.1633333333	72.4033333333	91.1366666667	63.5866666667	70.7433333333
"G7203"	49.18	46.46	46.9566666667	47.63	66.9433333333
"G7204"	3.80333333333	3.92	4.34333333333	4.31	5.15666666667
"G7205"	4.21333333333	4.12	3.28	5.81	5.08
"G7206"	3.61	3.09666666667	3.09	2.27666666667	4.39666666667
"G7207"	1.30333333333	0.996666666667	1.56666666667	1.42333333333	1.51333333333
"G7208"	1.94666666667	1.85666666667	1.72666666667	2.18666666667	2.63333333333
"G7209"	6.8	6.99333333333	7.23	5.67	11.7833333333
"G7210"	0.473333333333	0.393333333333	0.89	0.56	0.94
"G7211"	256.286666667	226.92	82.3766666667	147.996666667	180.213333333
"G7212"	14.6633333333	18.63	5.92333333333	29.35	15.5633333333
"G7213"	13.98	18.4733333333	7.31	27.6633333333	12.7766666667
"G7214"	50.14	32.9966666667	423.483333333	88.48	194.023333333
"G7215"	3.54333333333	3.37666666667	5.35666666667	4.68	5.24333333333
"G7216"	127.146666667	111.92	104.893333333	110.13	102.37
"G7217"	13.2333333333	14.5933333333	7.98666666667	15.6633333333	80.5533333333
"G7218"	26.08	22.51	23.44	25.2166666667	10.6233333333
"G7219"	143.686666667	170.953333333	98.93	114.743333333	57.3266666667
"G7220"	268.363333333	382.566666667	230.556666667	202.51	71.2833333333
"G7221"	28.8966666667	35.5666666667	26.0533333333	20.6133333333	5.03
"G7222"	14.9066666667	8.26	6.92333333333	14.7866666667	31.59
"G7223"	8.85	9.99333333333	9.27333333333	11.8766666667	13.44
"G7224"	0.946666666667	1.02333333333	1.82333333333	1.14	1.22666666667
"G7225"	0.343333333333	0.0	0.0733333333333	0.916666666667	0.0933333333333
"G7226"	0.126666666667	0.116666666667	0.18	0.49	0.57
"G7227"	0.29	0.06	0.123333333333	0.213333333333	0.383333333333
"G7228"	5.06333333333	5.60666666667	5.10333333333	5.37333333333	8.02333333333
"G7229"	8.12	7.40333333333	4.23666666667	7.50333333333	7.79333333333
"G7230"	0.303333333333	0.513333333333	0.553333333333	1.21333333333	0.726666666667
"G7231"	2.97333333333	3.62666666667	0.96	4.46333333333	2.66
"G7232"	10.4533333333	10.6533333333	12.7566666667	10.41	18.5333333333
"G7233"	1.86333333333	0.963333333333	0.743333333333	1.84	2.74666666667
"G7234"	1.72666666667	1.60666666667	1.45333333333	1.80333333333	4.07
"G7235"	1.32	0.786666666667	0.793333333333	1.57	1.13333333333
"G7236"	1.69	1.66333333333	0.89	2.25333333333	1.47666666667
"G7237"	1.48333333333	2.01666666667	1.79333333333	2.51	1.41
"G7238"	1.63333333333	1.35	0.793333333333	1.00666666667	1.43333333333
"G7239"	6.51333333333	4.22	2.76333333333	4.47333333333	9.62666666667
"G7240"	8.38333333333	9.86	14.3266666667	10.4733333333	65.3433333333
"G7241"	29.5733333333	60.1466666667	65.8166666667	11.1133333333	44.6166666667
"G7242"	50.0933333333	47.3833333333	36.2933333333	56.9233333333	54.7633333333
"G7243"	18.03	19.8066666667	30.0666666667	18.96	22.9433333333
"G7244"	48.47	50.0933333333	57.1033333333	61.33	78.8533333333
"G7245"	13.3866666667	15.01	16.78	15.0866666667	26.6733333333
"G7246"	3.1	2.56666666667	2.85666666667	4.12333333333	3.20666666667
"G7247"	2.64333333333	2.29	2.12333333333	3.40333333333	2.90333333333
"G7248"	2.59666666667	1.67666666667	1.9	3.62333333333	2.12
"G7249"	1.14333333333	0.9	0.903333333333	1.67	1.51
"G7250"	1.34	0.783333333333	1.59666666667	1.57	1.26
"G7251"	18.1533333333	17.5866666667	21.05	19.9466666667	42.5633333333
"G7252"	145.766666667	142.923333333	183.6	178.663333333	398.04
"G7254"	311.36	280.443333333	347.753333333	445.213333333	1420.47
"G7255"	47.02	48.0333333333	38.6966666667	42.1233333333	47.4766666667
"G7256"	3.94666666667	4.17666666667	1.92333333333	4.02333333333	8.88666666667
"G7257"	14.87	13.6533333333	13.8233333333	16.84	19.6733333333
