"Gene"	"M9 Glucose minus AAs"	"N-limited Glucose minus AAs"	"M9 Glucose plus AAs"	"M9 Glycerol plus AAs"	"P-limited Glucose plus AAs"
"G7258"	8.91730901113	16.7520148042	30.2204836714	70.3102960692	68.2716524872
"G7259"	8.7634296939	9.04034844461	23.8387129127	9.65549757047	18.178103128
"G7260"	0.920289809426	2.78568363842	0.677569184659	1.40887662105	2.0785571919
"G7261"	10.4935424587	10.852835267	3.85734364557	22.3906208043	12.8023318189
"G7262"	1.36397702815	0.976848674736	1.76571043304	0.543721742561	1.88139132913
"G7263"	1.5205591077	1.74387499552	2.694123234	6.05220620931	1.28539228772
"G7264"	0.257358375293	1.17721422576	4.73005637739	1.49239181629	1.39141414875
"G7265"	0.6337980751	0.500899191455	3.54251793691	0.843465075349	0.401497197998
"G7266"	11.2374745087	4.45374374356	53.31779284	17.7088518355	8.55204264099
"G7267"	7.76427073201	9.32386364837	5.29505744382	10.6332136879	6.9705116981
"G7268"	2.35801470168	2.57989017854	8.04727490107	3.19106565272	2.65663948125
"G7269"	10.4592271862	7.134832397	13.5811793793	14.0195613341	9.25911982858
"G7270"	3.30984893915	2.05393119002	3.99446283414	22.9479287373	5.36770279853
"G7271"	3.29624533877	3.55008450604	4.2310794525	17.2590449716	5.67042326462
"G7272"	21.3164545207	30.5096771533	7.68586581546	6.44997157616	13.1041456545
"G7273"	21.5017820967	28.2400997401	29.9881582184	9.69669187576	3.73850683206
"G7274"	1.11934504659	1.64654183063	3.14132137802	0.893700173436	0.739075999701
"G7275"	1.18158086195	0.800687204843	0.935218334579	0.941700589359	0.510979451642
"G7276"	1.1875324557	1.4377412841	0.56536124145	2.78819535423	2.00525143893
"G7277"	3.85363897288	1.63579746098	0.223681320931	5.44178585883	3.62285798783
"G7278"	3.73445221329	3.19859865149	3.19381172478	2.74053522753	1.157598088
"G7279"	20.9330846588	14.112297238	18.6171489045	30.6586562002	8.39764451101
"G7280"	34.3667169414	36.416153467	12.4427502319	21.9756873233	5.63925822545
"G7281"	0.350190424388	0.194250697124	0.144222051019	0.922893998969	0.467760622541
"G7282"	0.062449979984	0.210713075057	0.973259129592	1.08969414669	0.0907377172588
"G7283"	0.288675134595	0.298384539367	0.502095608425	1.08306663384	0.674190873072
"G7284"	0.934309013835	0.309246395829	0.546168472177	0.378725934329	0.260832002127
"G7285"	0.522525916423	0.421544778167	0.416813307529	0.477214137818	0.0850490054812
"G7286"	0.405503801873	0.526244556583	0.75544688761	0.898220462915	0.491155101097
"G7287"	2.19827963038	3.82806739753	2.81714394378	4.00198700648	3.02066769661
"G7288"	0.680220552468	0.313421973278	0.451700490738	0.149777612924	0.731869751618
"G7289"	0.511566222497	0.345591280754	1.58001054849	1.05101538206	0.0871779788708
"G7290"	0.52	1.06070731118	0.62404593848	1.29508043508	0.135769412363
"G7291"	1.60776242026	0.500832640044	1.81049716929	0.980459076147	1.20525239404
"G7292"	0.430967902904	0.46184412955	0.368555739792	0.713605866942	0.446131520219
"G7293"	22.0295581738	27.164975612	9.96050366866	50.4789391727	13.4405146231
"G7295"	1.63295233652	0.457383865041	1.33525278506	1.29046503246	13.3216152674
"G7296"	4.35376848259	2.88215197379	9.34855247262	6.19629997122	12.3187756426
"G7297"	2.82001773044	1.42275554237	2.95032766542	9.57268509876	5.60125878709
"G7298"	19.3594791597	17.9162412353	10.6264716628	7.39406744176	28.8272116816
"G7300"	0.475114021403	0.588982172905	0.77	0.549211556081	0.233880311271
"G7301"	0.0971253485622	0.292973263854	0.328684245642	0.278747197295	0.18929694486
"G7302"	1.93928681049	2.06204590961	0.400790884793	0.887299273075	0.204287379281
"G7303"	0.600083327547	0.524309069157	0.05	1.4377412841	0.238117617996
"G7304"	0.531256372511	0.823103881658	1.0114840582	0.575007246331	0.343559795863
"G7305"	2.30413396601	0.39715656023	1.63022493336	0.870880780207	1.45371936769
